col_name,description
3_point_field_goal_percentage,3-Point Field Goal Percentage.
3_point_field_goals_made_attempted,3-Point Field Goals Made-Attempted.
3_point_field_goals_made_attempted_per_game,3-Point Field Goals Made-Attempted Per Game.
assist_to_turnover_ratio,Assist To Turnover Ratio.
assists,Assists.
assists_per_game,Assists Per Game.
average_3_point_field_goals_attempted,Average 3-Point Field Goals Attempted.
average_3_point_field_goals_made,Average 3-Point Field Goals Made.
average_field_goals_attempted,Average Field Goals Attempted.
average_field_goals_made,Average Field Goals Made.
average_free_throws_attempted,Average Free Throws Attempted.
average_free_throws_made,Average Free Throws Made.
avg_assists,The average assists per game.
avg_blocks,The average blocks per game.
avg_defensive_rebounds,The average defensive rebounds per game.
avg_field_goals_made_avg_field_goals_attempted,avgFieldGoalsMade-avgFieldGoalsAttempted.
avg_fouls,The average fouls committed per game.
avg_minutes,The average number of minutes per game.
avg_offensive_rebounds,The average offensive rebounds per game.
avg_points,The average number of points scored per game.
avg_rebounds,The average rebounds per game.
avg_steals,The average steals per game.
avg_three_point_field_goals_made_avg_three_point_field_goals_attempted,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted.
avg_turnovers,The average turnovers committed per game.
blocks,Blocks.
blocks_per_game,Blocks Per Game.
defensive_avg48blocks,The average number of blocks per 48 minutes.
defensive_avg48defensive_rebounds,The average number of defensive rebounds per 48 minutes.
defensive_avg48steals,The average number of steals per 48 minutes.
defensive_avg_blocks,The average blocks per game.
defensive_avg_defensive_rebounds,The average defensive rebounds per game.
defensive_avg_steals,The average steals per game.
defensive_blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player."
defensive_def_rebound_rate,The percentage of missed shots that a team rebounds defensively. Rebound Rate = (Defensive Rebounds x Team Minutes) divided by [Player Minutes x (Team Defensive Rebounds + Opponent Defensive Rebounds)].
defensive_defensive_rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.
defensive_drpm,Defensive Real Plus-Minus.
defensive_rebounds_per_game,Defensive Rebounds Per Game.
defensive_steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.
defensive_turnover_points,The amount of points resulting from the possession following a turnover.
disqualifications,Disqualifications.
double_double,Double Double.
ejections,Ejections.
field_goal_pct,The ratio of field goals made to field goals attempted: FGM / FGA.
field_goal_percentage,Field Goal Percentage.
field_goals_made_attempted,Field Goals Made-Attempted.
field_goals_made_attempted_per_game,Field Goals Made-Attempted Per Game.
field_goals_made_field_goals_attempted,Field Goals Made-Attempted.
flagrant_fouls,Flagrant Fouls.
fouls,Fouls.
fouls_per_game,Fouls Per Game.
free_throw_pct,The ratio of free throws made to free throws attempted: FTM / FTA.
free_throw_percentage,Free Throw Percentage.
free_throws_made_attempted,Free Throws Made-Attempted.
free_throws_made_attempted_per_game,Free Throws Made-Attempted Per Game.
free_throws_made_free_throws_attempted,Free Throws Made-Attempted.
games_played,Games Played.
games_started,Games Started.
