old,new
espn_mbb_athlete_awards,espn_mbb_player_awards
espn_mbb_athlete_career_stats,espn_mbb_player_career_stats
espn_mbb_athlete_eventlog,espn_mbb_player_eventlog
espn_mbb_athlete_eventlog_v2,espn_mbb_player_eventlog_v2
espn_mbb_athlete_gamelog,espn_mbb_player_gamelog
espn_mbb_athlete_info,espn_mbb_player_info
espn_mbb_athlete_overview,espn_mbb_player_overview
espn_mbb_athlete_seasons,espn_mbb_player_seasons
espn_mbb_athlete_splits,espn_mbb_player_splits
espn_mbb_athlete_statisticslog,espn_mbb_player_statisticslog
espn_mbb_event_broadcasts,espn_mbb_game_broadcasts
espn_mbb_event_competitor_leaders,espn_mbb_game_team_leaders
espn_mbb_event_competitor_linescores,espn_mbb_game_team_linescores
espn_mbb_event_competitor_records,espn_mbb_game_team_records
espn_mbb_event_competitor_roster,espn_mbb_game_team_roster
espn_mbb_event_competitor_roster_entry,espn_mbb_game_team_roster_entry
espn_mbb_event_competitor_score,espn_mbb_game_team_score
espn_mbb_event_competitor_statistics,espn_mbb_game_team_statistics
espn_mbb_event_odds,espn_mbb_game_odds
espn_mbb_event_official_detail,espn_mbb_game_official_detail
espn_mbb_event_officials,espn_mbb_game_officials
espn_mbb_event_play,espn_mbb_game_play
espn_mbb_event_play_personnel,espn_mbb_game_play_personnel
espn_mbb_event_player_box,espn_mbb_game_player_box
espn_mbb_event_powerindex,espn_mbb_game_powerindex
espn_mbb_event_predictor,espn_mbb_game_predictor
espn_mbb_event_probabilities,espn_mbb_game_probabilities
espn_mbb_event_propbets,espn_mbb_game_propbets
espn_mbb_event_situation,espn_mbb_game_situation
espn_nba_athlete_awards,espn_nba_player_awards
espn_nba_athlete_career_stats,espn_nba_player_career_stats
espn_nba_athlete_contract,espn_nba_player_contract
espn_nba_athlete_contracts,espn_nba_player_contracts
espn_nba_athlete_eventlog,espn_nba_player_eventlog
espn_nba_athlete_eventlog_v2,espn_nba_player_eventlog_v2
espn_nba_athlete_gamelog,espn_nba_player_gamelog
espn_nba_athlete_info,espn_nba_player_info
espn_nba_athlete_overview,espn_nba_player_overview
espn_nba_athlete_seasons,espn_nba_player_seasons
espn_nba_athlete_splits,espn_nba_player_splits
espn_nba_athlete_statisticslog,espn_nba_player_statisticslog
espn_nba_event_broadcasts,espn_nba_game_broadcasts
espn_nba_event_competitor_leaders,espn_nba_game_team_leaders
espn_nba_event_competitor_linescores,espn_nba_game_team_linescores
espn_nba_event_competitor_records,espn_nba_game_team_records
espn_nba_event_competitor_roster,espn_nba_game_team_roster
espn_nba_event_competitor_roster_entry,espn_nba_game_team_roster_entry
espn_nba_event_competitor_score,espn_nba_game_team_score
espn_nba_event_competitor_statistics,espn_nba_game_team_statistics
espn_nba_event_odds,espn_nba_game_odds
espn_nba_event_official_detail,espn_nba_game_official_detail
espn_nba_event_officials,espn_nba_game_officials
espn_nba_event_play,espn_nba_game_play
espn_nba_event_play_personnel,espn_nba_game_play_personnel
espn_nba_event_player_box,espn_nba_game_player_box
espn_nba_event_powerindex,espn_nba_game_powerindex
espn_nba_event_predictor,espn_nba_game_predictor
espn_nba_event_probabilities,espn_nba_game_probabilities
espn_nba_event_propbets,espn_nba_game_propbets
espn_nba_event_situation,espn_nba_game_situation
espn_nba_athlete_stats,espn_nba_player_stats_v3
espn_mbb_athlete_stats,espn_mbb_player_stats_v3
