"LeagueID","SeasonID","TeamID","TeamCity","TeamName","TeamSlug","Conference","Division","Season","TeamNameFull","espn_team_id","abbreviation","display_name","mascot","nickname","team","color","alternate_color","logo","logo_dark","logos_href_3","logos_href_4"
"00","22022","1610612737","Atlanta","Hawks","hawks","East","Southeast","2022-23","Atlanta Hawks",1,"ATL","Atlanta Hawks","Hawks","Atlanta","Atlanta","002B5C","002b5c","https://a.espncdn.com/i/teamlogos/nba/500/atl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/atl.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/atl.png"
"00","22022","1610612738","Boston","Celtics","celtics","East","Atlantic","2022-23","Boston Celtics",2,"BOS","Boston Celtics","Celtics","Boston","Boston","006532","f1f2f3","https://a.espncdn.com/i/teamlogos/nba/500/bos.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/bos.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/bos.png"
"00","22022","1610612751","Brooklyn","Nets","nets","East","Atlantic","2022-23","Brooklyn Nets",17,"BKN","Brooklyn Nets","Nets","Brooklyn","Brooklyn","000000","ffffff","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/bkn.png"
"00","22022","1610612766","Charlotte","Hornets","hornets","East","Southeast","2022-23","Charlotte Hornets",30,"CHA","Charlotte Hornets","Hornets","Charlotte","Charlotte","1D1060","008ca8","https://a.espncdn.com/i/teamlogos/nba/500/cha.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/cha.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/cha.png"
"00","22022","1610612741","Chicago","Bulls","bulls","East","Central","2022-23","Chicago Bulls",4,"CHI","Chicago Bulls","Bulls","Chicago","Chicago","000000","000000","https://a.espncdn.com/i/teamlogos/nba/500/chi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/chi.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/chi.png"
"00","22022","1610612739","Cleveland","Cavaliers","cavaliers","East","Central","2022-23","Cleveland Cavaliers",5,"CLE","Cleveland Cavaliers","Cavaliers","Cleveland","Cleveland","061642","fdbb30","https://a.espncdn.com/i/teamlogos/nba/500/cle.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/cle.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/cle.png"
"00","22022","1610612742","Dallas","Mavericks","mavericks","West","Southwest","2022-23","Dallas Mavericks",6,"DAL","Dallas Mavericks","Mavericks","Dallas","Dallas","0C479D","c4ced3","https://a.espncdn.com/i/teamlogos/nba/500/dal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/dal.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/dal.png"
"00","22022","1610612743","Denver","Nuggets","nuggets","West","Northwest","2022-23","Denver Nuggets",7,"DEN","Denver Nuggets","Nuggets","Denver","Denver","0860A8","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/den.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/den.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/den.png"
"00","22022","1610612765","Detroit","Pistons","pistons","East","Central","2022-23","Detroit Pistons",8,"DET","Detroit Pistons","Pistons","Detroit","Detroit","FA002C","006bb6","https://a.espncdn.com/i/teamlogos/nba/500/det.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/det.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/det.png"
"00","22022","1610612744","Golden State","Warriors","warriors","West","Pacific","2022-23","Golden State Warriors",9,"GS","Golden State Warriors","Warriors","Golden State","Golden State","003da5","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/gs.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/gs.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/gs.png"
"00","22022","1610612745","Houston","Rockets","rockets","West","Southwest","2022-23","Houston Rockets",10,"HOU","Houston Rockets","Rockets","Houston","Houston","D40026","c4ced3","https://a.espncdn.com/i/teamlogos/nba/500/hou.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/hou.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/hou.png"
"00","22022","1610612754","Indiana","Pacers","pacers","East","Central","2022-23","Indiana Pacers",11,"IND","Indiana Pacers","Pacers","Indiana","Indiana","061642","00275d","https://a.espncdn.com/i/teamlogos/nba/500/ind.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/ind.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/ind.png"
