"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Prairie View A&M","team.php?team=Prairie+View+A%26M","Prairie+View+A%26M","SWAC","conf.php?c=SWAC","SWAC",2021
"Presbyterian","team.php?team=Presbyterian","Presbyterian","BSth","conf.php?c=BSth","BSth",2021
"Princeton","team.php?team=Princeton","Princeton","Ivy","conf.php?c=Ivy","Ivy",2021
"Providence","team.php?team=Providence","Providence","BE","conf.php?c=BE","BE",2021
"Purdue","team.php?team=Purdue","Purdue","B10","conf.php?c=B10","B10",2021
"Purdue Fort Wayne","team.php?team=Purdue+Fort+Wayne","Purdue+Fort+Wayne","Horz","conf.php?c=Horz","Horz",2021
"Quinnipiac","team.php?team=Quinnipiac","Quinnipiac","MAAC","conf.php?c=MAAC","MAAC",2021
"Radford","team.php?team=Radford","Radford","BSth","conf.php?c=BSth","BSth",2021
"Rhode Island","team.php?team=Rhode+Island","Rhode+Island","A10","conf.php?c=A10","A10",2021
"Rice","team.php?team=Rice","Rice","CUSA","conf.php?c=CUSA","CUSA",2021
"Richmond","team.php?team=Richmond","Richmond","A10","conf.php?c=A10","A10",2021
"Rider","team.php?team=Rider","Rider","MAAC","conf.php?c=MAAC","MAAC",2021
"Robert Morris","team.php?team=Robert+Morris","Robert+Morris","Horz","conf.php?c=Horz","Horz",2021
"Rutgers","team.php?team=Rutgers","Rutgers","B10","conf.php?c=B10","B10",2021
"SIU Edwardsville","team.php?team=SIU+Edwardsville","SIU+Edwardsville","OVC","conf.php?c=OVC","OVC",2021
"SMU","team.php?team=SMU","SMU","Amer","conf.php?c=Amer","Amer",2021
"Sacramento St.","team.php?team=Sacramento+St.","Sacramento+St.","BSky","conf.php?c=BSky","BSky",2021
"Sacred Heart","team.php?team=Sacred+Heart","Sacred+Heart","NEC","conf.php?c=NEC","NEC",2021
"Saint Joseph's","team.php?team=Saint+Joseph%27s","Saint+Joseph%27s","A10","conf.php?c=A10","A10",2021
"Saint Louis","team.php?team=Saint+Louis","Saint+Louis","A10","conf.php?c=A10","A10",2021
"Saint Mary's","team.php?team=Saint+Mary%27s","Saint+Mary%27s","WCC","conf.php?c=WCC","WCC",2021
"Saint Peter's","team.php?team=Saint+Peter%27s","Saint+Peter%27s","MAAC","conf.php?c=MAAC","MAAC",2021
"Sam Houston St.","team.php?team=Sam+Houston+St.","Sam+Houston+St.","Slnd","conf.php?c=Slnd","Slnd",2021
"Samford","team.php?team=Samford","Samford","SC","conf.php?c=SC","SC",2021
"San Diego","team.php?team=San+Diego","San+Diego","WCC","conf.php?c=WCC","WCC",2021
"San Diego St.","team.php?team=San+Diego+St.","San+Diego+St.","MWC","conf.php?c=MWC","MWC",2021
"San Francisco","team.php?team=San+Francisco","San+Francisco","WCC","conf.php?c=WCC","WCC",2021
"San Jose St.","team.php?team=San+Jose+St.","San+Jose+St.","MWC","conf.php?c=MWC","MWC",2021
"Santa Clara","team.php?team=Santa+Clara","Santa+Clara","WCC","conf.php?c=WCC","WCC",2021
"Seattle","team.php?team=Seattle","Seattle","WAC","conf.php?c=WAC","WAC",2021
"Seton Hall","team.php?team=Seton+Hall","Seton+Hall","BE","conf.php?c=BE","BE",2021
"Siena","team.php?team=Siena","Siena","MAAC","conf.php?c=MAAC","MAAC",2021
"South Alabama","team.php?team=South+Alabama","South+Alabama","SB","conf.php?c=SB","SB",2021
"South Carolina","team.php?team=South+Carolina","South+Carolina","SEC","conf.php?c=SEC","SEC",2021
"South Carolina St.","team.php?team=South+Carolina+St.","South+Carolina+St.","MEAC","conf.php?c=MEAC","MEAC",2021
"South Dakota","team.php?team=South+Dakota","South+Dakota","Sum","conf.php?c=Sum","Sum",2021
"South Dakota St.","team.php?team=South+Dakota+St.","South+Dakota+St.","Sum","conf.php?c=Sum","Sum",2021
"South Florida","team.php?team=South+Florida","South+Florida","Amer","conf.php?c=Amer","Amer",2021
"Southeast Missouri St.","team.php?team=Southeast+Missouri+St.","Southeast+Missouri+St.","OVC","conf.php?c=OVC","OVC",2021
"Southeastern Louisiana","team.php?team=Southeastern+Louisiana","Southeastern+Louisiana","Slnd","conf.php?c=Slnd","Slnd",2021
"Southern","team.php?team=Southern","Southern","SWAC","conf.php?c=SWAC","SWAC",2021
"Southern Illinois","team.php?team=Southern+Illinois","Southern+Illinois","MVC","conf.php?c=MVC","MVC",2021
"Southern Miss","team.php?team=Southern+Miss","Southern+Miss","CUSA","conf.php?c=CUSA","CUSA",2021
"Southern Utah","team.php?team=Southern+Utah","Southern+Utah","BSky","conf.php?c=BSky","BSky",2021
"St. Bonaventure","team.php?team=St.+Bonaventure","St.+Bonaventure","A10","conf.php?c=A10","A10",2021
"St. Francis NY","team.php?team=St.+Francis+NY","St.+Francis+NY","NEC","conf.php?c=NEC","NEC",2021
"St. Francis PA","team.php?team=St.+Francis+PA","St.+Francis+PA","NEC","conf.php?c=NEC","NEC",2021
"St. John's","team.php?team=St.+John%27s","St.+John%27s","BE","conf.php?c=BE","BE",2021
"Stanford","team.php?team=Stanford","Stanford","P12","conf.php?c=P12","P12",2021
"Stephen F. Austin","team.php?team=Stephen+F.+Austin","Stephen+F.+Austin","Slnd","conf.php?c=Slnd","Slnd",2021
"Stetson","team.php?team=Stetson","Stetson","ASun","conf.php?c=ASun","ASun",2021
"Stony Brook","team.php?team=Stony+Brook","Stony+Brook","AE","conf.php?c=AE","AE",2021
"Syracuse","team.php?team=Syracuse","Syracuse","ACC","conf.php?c=ACC","ACC",2021
"TCU","team.php?team=TCU","TCU","B12","conf.php?c=B12","B12",2021
"Tarleton St.","team.php?team=Tarleton+St.","Tarleton+St.","WAC","conf.php?c=WAC","WAC",2021
"Temple","team.php?team=Temple","Temple","Amer","conf.php?c=Amer","Amer",2021
"Tennessee","team.php?team=Tennessee","Tennessee","SEC","conf.php?c=SEC","SEC",2021
"Tennessee Martin","team.php?team=Tennessee+Martin","Tennessee+Martin","OVC","conf.php?c=OVC","OVC",2021
"Tennessee St.","team.php?team=Tennessee+St.","Tennessee+St.","OVC","conf.php?c=OVC","OVC",2021
"Tennessee Tech","team.php?team=Tennessee+Tech","Tennessee+Tech","OVC","conf.php?c=OVC","OVC",2021
"Texas","team.php?team=Texas","Texas","B12","conf.php?c=B12","B12",2021
"Texas A&M","team.php?team=Texas+A%26M","Texas+A%26M","SEC","conf.php?c=SEC","SEC",2021
"Texas A&M Corpus Chris","team.php?team=Texas+A%26M+Corpus+Chris","Texas+A%26M+Corpus+Chris","Slnd","conf.php?c=Slnd","Slnd",2021
"Texas Southern","team.php?team=Texas+Southern","Texas+Southern","SWAC","conf.php?c=SWAC","SWAC",2021
"Texas St.","team.php?team=Texas+St.","Texas+St.","SB","conf.php?c=SB","SB",2021
"Texas Tech","team.php?team=Texas+Tech","Texas+Tech","B12","conf.php?c=B12","B12",2021
"The Citadel","team.php?team=The+Citadel","The+Citadel","SC","conf.php?c=SC","SC",2021
"Toledo","team.php?team=Toledo","Toledo","MAC","conf.php?c=MAC","MAC",2021
"Towson","team.php?team=Towson","Towson","CAA","conf.php?c=CAA","CAA",2021
"Troy","team.php?team=Troy","Troy","SB","conf.php?c=SB","SB",2021
"Tulane","team.php?team=Tulane","Tulane","Amer","conf.php?c=Amer","Amer",2021
"Tulsa","team.php?team=Tulsa","Tulsa","Amer","conf.php?c=Amer","Amer",2021
"UAB","team.php?team=UAB","UAB","CUSA","conf.php?c=CUSA","CUSA",2021
"UC Davis","team.php?team=UC+Davis","UC+Davis","BW","conf.php?c=BW","BW",2021
"UC Irvine","team.php?team=UC+Irvine","UC+Irvine","BW","conf.php?c=BW","BW",2021
"UC Riverside","team.php?team=UC+Riverside","UC+Riverside","BW","conf.php?c=BW","BW",2021
"UC San Diego","team.php?team=UC+San+Diego","UC+San+Diego","BW","conf.php?c=BW","BW",2021
"UC Santa Barbara","team.php?team=UC+Santa+Barbara","UC+Santa+Barbara","BW","conf.php?c=BW","BW",2021
"UCF","team.php?team=UCF","UCF","Amer","conf.php?c=Amer","Amer",2021
"UCLA","team.php?team=UCLA","UCLA","P12","conf.php?c=P12","P12",2021
"UMBC","team.php?team=UMBC","UMBC","AE","conf.php?c=AE","AE",2021
"UMKC","team.php?team=UMKC","UMKC","Sum","conf.php?c=Sum","Sum",2021
"UMass Lowell","team.php?team=UMass+Lowell","UMass+Lowell","AE","conf.php?c=AE","AE",2021
"UNC Asheville","team.php?team=UNC+Asheville","UNC+Asheville","BSth","conf.php?c=BSth","BSth",2021
"UNC Greensboro","team.php?team=UNC+Greensboro","UNC+Greensboro","SC","conf.php?c=SC","SC",2021
"UNC Wilmington","team.php?team=UNC+Wilmington","UNC+Wilmington","CAA","conf.php?c=CAA","CAA",2021
"UNLV","team.php?team=UNLV","UNLV","MWC","conf.php?c=MWC","MWC",2021
"USC","team.php?team=USC","USC","P12","conf.php?c=P12","P12",2021
"USC Upstate","team.php?team=USC+Upstate","USC+Upstate","BSth","conf.php?c=BSth","BSth",2021
"UT Arlington","team.php?team=UT+Arlington","UT+Arlington","SB","conf.php?c=SB","SB",2021
"UT Rio Grande Valley","team.php?team=UT+Rio+Grande+Valley","UT+Rio+Grande+Valley","WAC","conf.php?c=WAC","WAC",2021
"UTEP","team.php?team=UTEP","UTEP","CUSA","conf.php?c=CUSA","CUSA",2021
"UTSA","team.php?team=UTSA","UTSA","CUSA","conf.php?c=CUSA","CUSA",2021
"Utah","team.php?team=Utah","Utah","P12","conf.php?c=P12","P12",2021
"Utah St.","team.php?team=Utah+St.","Utah+St.","MWC","conf.php?c=MWC","MWC",2021
"Utah Valley","team.php?team=Utah+Valley","Utah+Valley","WAC","conf.php?c=WAC","WAC",2021
"VCU","team.php?team=VCU","VCU","A10","conf.php?c=A10","A10",2021
"VMI","team.php?team=VMI","VMI","SC","conf.php?c=SC","SC",2021
"Valparaiso","team.php?team=Valparaiso","Valparaiso","MVC","conf.php?c=MVC","MVC",2021
"Vanderbilt","team.php?team=Vanderbilt","Vanderbilt","SEC","conf.php?c=SEC","SEC",2021
"Vermont","team.php?team=Vermont","Vermont","AE","conf.php?c=AE","AE",2021
"Villanova","team.php?team=Villanova","Villanova","BE","conf.php?c=BE","BE",2021
"Virginia","team.php?team=Virginia","Virginia","ACC","conf.php?c=ACC","ACC",2021
"Virginia Tech","team.php?team=Virginia+Tech","Virginia+Tech","ACC","conf.php?c=ACC","ACC",2021
"Wagner","team.php?team=Wagner","Wagner","NEC","conf.php?c=NEC","NEC",2021
"Wake Forest","team.php?team=Wake+Forest","Wake+Forest","ACC","conf.php?c=ACC","ACC",2021
"Washington","team.php?team=Washington","Washington","P12","conf.php?c=P12","P12",2021
"Washington St.","team.php?team=Washington+St.","Washington+St.","P12","conf.php?c=P12","P12",2021
"Weber St.","team.php?team=Weber+St.","Weber+St.","BSky","conf.php?c=BSky","BSky",2021
"West Virginia","team.php?team=West+Virginia","West+Virginia","B12","conf.php?c=B12","B12",2021
"Western Carolina","team.php?team=Western+Carolina","Western+Carolina","SC","conf.php?c=SC","SC",2021
"Western Illinois","team.php?team=Western+Illinois","Western+Illinois","Sum","conf.php?c=Sum","Sum",2021
"Western Kentucky","team.php?team=Western+Kentucky","Western+Kentucky","CUSA","conf.php?c=CUSA","CUSA",2021
"Western Michigan","team.php?team=Western+Michigan","Western+Michigan","MAC","conf.php?c=MAC","MAC",2021
"Wichita St.","team.php?team=Wichita+St.","Wichita+St.","Amer","conf.php?c=Amer","Amer",2021
"William & Mary","team.php?team=William+%26+Mary","William+%26+Mary","CAA","conf.php?c=CAA","CAA",2021
"Winthrop","team.php?team=Winthrop","Winthrop","BSth","conf.php?c=BSth","BSth",2021
"Wisconsin","team.php?team=Wisconsin","Wisconsin","B10","conf.php?c=B10","B10",2021
"Wofford","team.php?team=Wofford","Wofford","SC","conf.php?c=SC","SC",2021
"Wright St.","team.php?team=Wright+St.","Wright+St.","Horz","conf.php?c=Horz","Horz",2021
"Wyoming","team.php?team=Wyoming","Wyoming","MWC","conf.php?c=MWC","MWC",2021
"Xavier","team.php?team=Xavier","Xavier","BE","conf.php?c=BE","BE",2021
"Yale","team.php?team=Yale","Yale","Ivy","conf.php?c=Ivy","Ivy",2021
"Youngstown St.","team.php?team=Youngstown+St.","Youngstown+St.","Horz","conf.php?c=Horz","Horz",2021
"Abilene Christian","team.php?team=Abilene+Christian","Abilene+Christian","Slnd","conf.php?c=Slnd","Slnd",2020
"Air Force","team.php?team=Air+Force","Air+Force","MWC","conf.php?c=MWC","MWC",2020
"Akron","team.php?team=Akron","Akron","MAC","conf.php?c=MAC","MAC",2020
"Alabama","team.php?team=Alabama","Alabama","SEC","conf.php?c=SEC","SEC",2020
"Alabama A&M","team.php?team=Alabama+A%26M","Alabama+A%26M","SWAC","conf.php?c=SWAC","SWAC",2020
"Alabama St.","team.php?team=Alabama+St.","Alabama+St.","SWAC","conf.php?c=SWAC","SWAC",2020
"Albany","team.php?team=Albany","Albany","AE","conf.php?c=AE","AE",2020
"Alcorn St.","team.php?team=Alcorn+St.","Alcorn+St.","SWAC","conf.php?c=SWAC","SWAC",2020
"American","team.php?team=American","American","Pat","conf.php?c=Pat","Pat",2020
"Appalachian St.","team.php?team=Appalachian+St.","Appalachian+St.","SB","conf.php?c=SB","SB",2020
"Arizona","team.php?team=Arizona","Arizona","P12","conf.php?c=P12","P12",2020
"Arizona St.","team.php?team=Arizona+St.","Arizona+St.","P12","conf.php?c=P12","P12",2020
"Arkansas","team.php?team=Arkansas","Arkansas","SEC","conf.php?c=SEC","SEC",2020
"Arkansas Pine Bluff","team.php?team=Arkansas+Pine+Bluff","Arkansas+Pine+Bluff","SWAC","conf.php?c=SWAC","SWAC",2020
"Arkansas St.","team.php?team=Arkansas+St.","Arkansas+St.","SB","conf.php?c=SB","SB",2020
"Army","team.php?team=Army","Army","Pat","conf.php?c=Pat","Pat",2020
"Auburn","team.php?team=Auburn","Auburn","SEC","conf.php?c=SEC","SEC",2020
"Austin Peay","team.php?team=Austin+Peay","Austin+Peay","OVC","conf.php?c=OVC","OVC",2020
"BYU","team.php?team=BYU","BYU","WCC","conf.php?c=WCC","WCC",2020
"Ball St.","team.php?team=Ball+St.","Ball+St.","MAC","conf.php?c=MAC","MAC",2020
"Baylor","team.php?team=Baylor","Baylor","B12","conf.php?c=B12","B12",2020
"Belmont","team.php?team=Belmont","Belmont","OVC","conf.php?c=OVC","OVC",2020
"Bethune Cookman","team.php?team=Bethune+Cookman","Bethune+Cookman","MEAC","conf.php?c=MEAC","MEAC",2020
"Binghamton","team.php?team=Binghamton","Binghamton","AE","conf.php?c=AE","AE",2020
"Boise St.","team.php?team=Boise+St.","Boise+St.","MWC","conf.php?c=MWC","MWC",2020
"Boston College","team.php?team=Boston+College","Boston+College","ACC","conf.php?c=ACC","ACC",2020
"Boston University","team.php?team=Boston+University","Boston+University","Pat","conf.php?c=Pat","Pat",2020
"Bowling Green","team.php?team=Bowling+Green","Bowling+Green","MAC","conf.php?c=MAC","MAC",2020
"Bradley","team.php?team=Bradley","Bradley","MVC","conf.php?c=MVC","MVC",2020
"Brown","team.php?team=Brown","Brown","Ivy","conf.php?c=Ivy","Ivy",2020
"Bryant","team.php?team=Bryant","Bryant","NEC","conf.php?c=NEC","NEC",2020
"Bucknell","team.php?team=Bucknell","Bucknell","Pat","conf.php?c=Pat","Pat",2020
"Buffalo","team.php?team=Buffalo","Buffalo","MAC","conf.php?c=MAC","MAC",2020
"Butler","team.php?team=Butler","Butler","BE","conf.php?c=BE","BE",2020
"Cal Baptist","team.php?team=Cal+Baptist","Cal+Baptist","WAC","conf.php?c=WAC","WAC",2020
"Cal Poly","team.php?team=Cal+Poly","Cal+Poly","BW","conf.php?c=BW","BW",2020
"Cal St. Bakersfield","team.php?team=Cal+St.+Bakersfield","Cal+St.+Bakersfield","WAC","conf.php?c=WAC","WAC",2020
"Cal St. Fullerton","team.php?team=Cal+St.+Fullerton","Cal+St.+Fullerton","BW","conf.php?c=BW","BW",2020
"Cal St. Northridge","team.php?team=Cal+St.+Northridge","Cal+St.+Northridge","BW","conf.php?c=BW","BW",2020
"California","team.php?team=California","California","P12","conf.php?c=P12","P12",2020
"Campbell","team.php?team=Campbell","Campbell","BSth","conf.php?c=BSth","BSth",2020
"Canisius","team.php?team=Canisius","Canisius","MAAC","conf.php?c=MAAC","MAAC",2020
"Central Arkansas","team.php?team=Central+Arkansas","Central+Arkansas","Slnd","conf.php?c=Slnd","Slnd",2020
"Central Connecticut","team.php?team=Central+Connecticut","Central+Connecticut","NEC","conf.php?c=NEC","NEC",2020
"Central Michigan","team.php?team=Central+Michigan","Central+Michigan","MAC","conf.php?c=MAC","MAC",2020
"Charleston","team.php?team=Charleston","Charleston","CAA","conf.php?c=CAA","CAA",2020
"Charleston Southern","team.php?team=Charleston+Southern","Charleston+Southern","BSth","conf.php?c=BSth","BSth",2020
"Charlotte","team.php?team=Charlotte","Charlotte","CUSA","conf.php?c=CUSA","CUSA",2020
"Chattanooga","team.php?team=Chattanooga","Chattanooga","SC","conf.php?c=SC","SC",2020
"Chicago St.","team.php?team=Chicago+St.","Chicago+St.","WAC","conf.php?c=WAC","WAC",2020
"Cincinnati","team.php?team=Cincinnati","Cincinnati","Amer","conf.php?c=Amer","Amer",2020
"Clemson","team.php?team=Clemson","Clemson","ACC","conf.php?c=ACC","ACC",2020
"Cleveland St.","team.php?team=Cleveland+St.","Cleveland+St.","Horz","conf.php?c=Horz","Horz",2020
"Coastal Carolina","team.php?team=Coastal+Carolina","Coastal+Carolina","SB","conf.php?c=SB","SB",2020
"Colgate","team.php?team=Colgate","Colgate","Pat","conf.php?c=Pat","Pat",2020
"Colorado","team.php?team=Colorado","Colorado","P12","conf.php?c=P12","P12",2020
"Colorado St.","team.php?team=Colorado+St.","Colorado+St.","MWC","conf.php?c=MWC","MWC",2020
"Columbia","team.php?team=Columbia","Columbia","Ivy","conf.php?c=Ivy","Ivy",2020
"Connecticut","team.php?team=Connecticut","Connecticut","Amer","conf.php?c=Amer","Amer",2020
"Coppin St.","team.php?team=Coppin+St.","Coppin+St.","MEAC","conf.php?c=MEAC","MEAC",2020
"Cornell","team.php?team=Cornell","Cornell","Ivy","conf.php?c=Ivy","Ivy",2020
"Creighton","team.php?team=Creighton","Creighton","BE","conf.php?c=BE","BE",2020
"Dartmouth","team.php?team=Dartmouth","Dartmouth","Ivy","conf.php?c=Ivy","Ivy",2020
"Davidson","team.php?team=Davidson","Davidson","A10","conf.php?c=A10","A10",2020
"Dayton","team.php?team=Dayton","Dayton","A10","conf.php?c=A10","A10",2020
"DePaul","team.php?team=DePaul","DePaul","BE","conf.php?c=BE","BE",2020
"Delaware","team.php?team=Delaware","Delaware","CAA","conf.php?c=CAA","CAA",2020
"Delaware St.","team.php?team=Delaware+St.","Delaware+St.","MEAC","conf.php?c=MEAC","MEAC",2020
"Denver","team.php?team=Denver","Denver","Sum","conf.php?c=Sum","Sum",2020
"Detroit","team.php?team=Detroit","Detroit","Horz","conf.php?c=Horz","Horz",2020
"Drake","team.php?team=Drake","Drake","MVC","conf.php?c=MVC","MVC",2020
"Drexel","team.php?team=Drexel","Drexel","CAA","conf.php?c=CAA","CAA",2020
"Duke","team.php?team=Duke","Duke","ACC","conf.php?c=ACC","ACC",2020
"Duquesne","team.php?team=Duquesne","Duquesne","A10","conf.php?c=A10","A10",2020
"East Carolina","team.php?team=East+Carolina","East+Carolina","Amer","conf.php?c=Amer","Amer",2020
"East Tennessee St.","team.php?team=East+Tennessee+St.","East+Tennessee+St.","SC","conf.php?c=SC","SC",2020
"Eastern Illinois","team.php?team=Eastern+Illinois","Eastern+Illinois","OVC","conf.php?c=OVC","OVC",2020
"Eastern Kentucky","team.php?team=Eastern+Kentucky","Eastern+Kentucky","OVC","conf.php?c=OVC","OVC",2020
"Eastern Michigan","team.php?team=Eastern+Michigan","Eastern+Michigan","MAC","conf.php?c=MAC","MAC",2020
"Eastern Washington","team.php?team=Eastern+Washington","Eastern+Washington","BSky","conf.php?c=BSky","BSky",2020
"Elon","team.php?team=Elon","Elon","CAA","conf.php?c=CAA","CAA",2020
"Evansville","team.php?team=Evansville","Evansville","MVC","conf.php?c=MVC","MVC",2020
"FIU","team.php?team=FIU","FIU","CUSA","conf.php?c=CUSA","CUSA",2020
"Fairfield","team.php?team=Fairfield","Fairfield","MAAC","conf.php?c=MAAC","MAAC",2020
"Fairleigh Dickinson","team.php?team=Fairleigh+Dickinson","Fairleigh+Dickinson","NEC","conf.php?c=NEC","NEC",2020
"Florida","team.php?team=Florida","Florida","SEC","conf.php?c=SEC","SEC",2020
"Florida A&M","team.php?team=Florida+A%26M","Florida+A%26M","MEAC","conf.php?c=MEAC","MEAC",2020
"Florida Atlantic","team.php?team=Florida+Atlantic","Florida+Atlantic","CUSA","conf.php?c=CUSA","CUSA",2020
"Florida Gulf Coast","team.php?team=Florida+Gulf+Coast","Florida+Gulf+Coast","ASun","conf.php?c=ASun","ASun",2020
"Florida St.","team.php?team=Florida+St.","Florida+St.","ACC","conf.php?c=ACC","ACC",2020
"Fordham","team.php?team=Fordham","Fordham","A10","conf.php?c=A10","A10",2020
"Fresno St.","team.php?team=Fresno+St.","Fresno+St.","MWC","conf.php?c=MWC","MWC",2020
"Furman","team.php?team=Furman","Furman","SC","conf.php?c=SC","SC",2020
"Gardner Webb","team.php?team=Gardner+Webb","Gardner+Webb","BSth","conf.php?c=BSth","BSth",2020
"George Mason","team.php?team=George+Mason","George+Mason","A10","conf.php?c=A10","A10",2020
"George Washington","team.php?team=George+Washington","George+Washington","A10","conf.php?c=A10","A10",2020
"Georgetown","team.php?team=Georgetown","Georgetown","BE","conf.php?c=BE","BE",2020
"Georgia","team.php?team=Georgia","Georgia","SEC","conf.php?c=SEC","SEC",2020
"Georgia Southern","team.php?team=Georgia+Southern","Georgia+Southern","SB","conf.php?c=SB","SB",2020
"Georgia St.","team.php?team=Georgia+St.","Georgia+St.","SB","conf.php?c=SB","SB",2020
"Georgia Tech","team.php?team=Georgia+Tech","Georgia+Tech","ACC","conf.php?c=ACC","ACC",2020
"Gonzaga","team.php?team=Gonzaga","Gonzaga","WCC","conf.php?c=WCC","WCC",2020
"Grambling St.","team.php?team=Grambling+St.","Grambling+St.","SWAC","conf.php?c=SWAC","SWAC",2020
"Grand Canyon","team.php?team=Grand+Canyon","Grand+Canyon","WAC","conf.php?c=WAC","WAC",2020
"Green Bay","team.php?team=Green+Bay","Green+Bay","Horz","conf.php?c=Horz","Horz",2020
"Hampton","team.php?team=Hampton","Hampton","BSth","conf.php?c=BSth","BSth",2020
"Hartford","team.php?team=Hartford","Hartford","AE","conf.php?c=AE","AE",2020
"Harvard","team.php?team=Harvard","Harvard","Ivy","conf.php?c=Ivy","Ivy",2020
"Hawaii","team.php?team=Hawaii","Hawaii","BW","conf.php?c=BW","BW",2020
"High Point","team.php?team=High+Point","High+Point","BSth","conf.php?c=BSth","BSth",2020
"Hofstra","team.php?team=Hofstra","Hofstra","CAA","conf.php?c=CAA","CAA",2020
"Holy Cross","team.php?team=Holy+Cross","Holy+Cross","Pat","conf.php?c=Pat","Pat",2020
"Houston","team.php?team=Houston","Houston","Amer","conf.php?c=Amer","Amer",2020
"Houston Baptist","team.php?team=Houston+Baptist","Houston+Baptist","Slnd","conf.php?c=Slnd","Slnd",2020
"Howard","team.php?team=Howard","Howard","MEAC","conf.php?c=MEAC","MEAC",2020
"IUPUI","team.php?team=IUPUI","IUPUI","Horz","conf.php?c=Horz","Horz",2020
"Idaho","team.php?team=Idaho","Idaho","BSky","conf.php?c=BSky","BSky",2020
"Idaho St.","team.php?team=Idaho+St.","Idaho+St.","BSky","conf.php?c=BSky","BSky",2020
"Illinois","team.php?team=Illinois","Illinois","B10","conf.php?c=B10","B10",2020
"Illinois Chicago","team.php?team=Illinois+Chicago","Illinois+Chicago","Horz","conf.php?c=Horz","Horz",2020
"Illinois St.","team.php?team=Illinois+St.","Illinois+St.","MVC","conf.php?c=MVC","MVC",2020
"Incarnate Word","team.php?team=Incarnate+Word","Incarnate+Word","Slnd","conf.php?c=Slnd","Slnd",2020
"Indiana","team.php?team=Indiana","Indiana","B10","conf.php?c=B10","B10",2020
"Indiana St.","team.php?team=Indiana+St.","Indiana+St.","MVC","conf.php?c=MVC","MVC",2020
"Iona","team.php?team=Iona","Iona","MAAC","conf.php?c=MAAC","MAAC",2020
"Iowa","team.php?team=Iowa","Iowa","B10","conf.php?c=B10","B10",2020
"Iowa St.","team.php?team=Iowa+St.","Iowa+St.","B12","conf.php?c=B12","B12",2020
"Jackson St.","team.php?team=Jackson+St.","Jackson+St.","SWAC","conf.php?c=SWAC","SWAC",2020
"Jacksonville","team.php?team=Jacksonville","Jacksonville","ASun","conf.php?c=ASun","ASun",2020
"Jacksonville St.","team.php?team=Jacksonville+St.","Jacksonville+St.","OVC","conf.php?c=OVC","OVC",2020
"James Madison","team.php?team=James+Madison","James+Madison","CAA","conf.php?c=CAA","CAA",2020
"Kansas","team.php?team=Kansas","Kansas","B12","conf.php?c=B12","B12",2020
"Kansas St.","team.php?team=Kansas+St.","Kansas+St.","B12","conf.php?c=B12","B12",2020
"Kennesaw St.","team.php?team=Kennesaw+St.","Kennesaw+St.","ASun","conf.php?c=ASun","ASun",2020
"Kent St.","team.php?team=Kent+St.","Kent+St.","MAC","conf.php?c=MAC","MAC",2020
"Kentucky","team.php?team=Kentucky","Kentucky","SEC","conf.php?c=SEC","SEC",2020
"LIU","team.php?team=LIU","LIU","NEC","conf.php?c=NEC","NEC",2020
"LSU","team.php?team=LSU","LSU","SEC","conf.php?c=SEC","SEC",2020
"La Salle","team.php?team=La+Salle","La+Salle","A10","conf.php?c=A10","A10",2020
"Lafayette","team.php?team=Lafayette","Lafayette","Pat","conf.php?c=Pat","Pat",2020
"Lamar","team.php?team=Lamar","Lamar","Slnd","conf.php?c=Slnd","Slnd",2020
"Lehigh","team.php?team=Lehigh","Lehigh","Pat","conf.php?c=Pat","Pat",2020
"Liberty","team.php?team=Liberty","Liberty","ASun","conf.php?c=ASun","ASun",2020
"Lipscomb","team.php?team=Lipscomb","Lipscomb","ASun","conf.php?c=ASun","ASun",2020
"Little Rock","team.php?team=Little+Rock","Little+Rock","SB","conf.php?c=SB","SB",2020
"Long Beach St.","team.php?team=Long+Beach+St.","Long+Beach+St.","BW","conf.php?c=BW","BW",2020
"Longwood","team.php?team=Longwood","Longwood","BSth","conf.php?c=BSth","BSth",2020
"Louisiana","team.php?team=Louisiana","Louisiana","SB","conf.php?c=SB","SB",2020
"Louisiana Monroe","team.php?team=Louisiana+Monroe","Louisiana+Monroe","SB","conf.php?c=SB","SB",2020
"Louisiana Tech","team.php?team=Louisiana+Tech","Louisiana+Tech","CUSA","conf.php?c=CUSA","CUSA",2020
"Louisville","team.php?team=Louisville","Louisville","ACC","conf.php?c=ACC","ACC",2020
"Loyola Chicago","team.php?team=Loyola+Chicago","Loyola+Chicago","MVC","conf.php?c=MVC","MVC",2020
"Loyola MD","team.php?team=Loyola+MD","Loyola+MD","Pat","conf.php?c=Pat","Pat",2020
"Loyola Marymount","team.php?team=Loyola+Marymount","Loyola+Marymount","WCC","conf.php?c=WCC","WCC",2020
"Maine","team.php?team=Maine","Maine","AE","conf.php?c=AE","AE",2020
"Manhattan","team.php?team=Manhattan","Manhattan","MAAC","conf.php?c=MAAC","MAAC",2020
"Marist","team.php?team=Marist","Marist","MAAC","conf.php?c=MAAC","MAAC",2020
"Marquette","team.php?team=Marquette","Marquette","BE","conf.php?c=BE","BE",2020
"Marshall","team.php?team=Marshall","Marshall","CUSA","conf.php?c=CUSA","CUSA",2020
"Maryland","team.php?team=Maryland","Maryland","B10","conf.php?c=B10","B10",2020
