"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Abilene Christian","team.php?team=Abilene+Christian","Abilene+Christian","WAC","conf.php?c=WAC","WAC",2024
"Air Force","team.php?team=Air+Force","Air+Force","MWC","conf.php?c=MWC","MWC",2024
"Akron","team.php?team=Akron","Akron","MAC","conf.php?c=MAC","MAC",2024
"Alabama","team.php?team=Alabama","Alabama","SEC","conf.php?c=SEC","SEC",2024
"Alabama A&M","team.php?team=Alabama+A%26M","Alabama+A%26M","SWAC","conf.php?c=SWAC","SWAC",2024
"Alabama St.","team.php?team=Alabama+St.","Alabama+St.","SWAC","conf.php?c=SWAC","SWAC",2024
"Albany","team.php?team=Albany","Albany","AE","conf.php?c=AE","AE",2024
"Alcorn St.","team.php?team=Alcorn+St.","Alcorn+St.","SWAC","conf.php?c=SWAC","SWAC",2024
"American","team.php?team=American","American","Pat","conf.php?c=Pat","Pat",2024
"Appalachian St.","team.php?team=Appalachian+St.","Appalachian+St.","SB","conf.php?c=SB","SB",2024
"Arizona","team.php?team=Arizona","Arizona","P12","conf.php?c=P12","P12",2024
"Arizona St.","team.php?team=Arizona+St.","Arizona+St.","P12","conf.php?c=P12","P12",2024
"Arkansas","team.php?team=Arkansas","Arkansas","SEC","conf.php?c=SEC","SEC",2024
"Arkansas Pine Bluff","team.php?team=Arkansas+Pine+Bluff","Arkansas+Pine+Bluff","SWAC","conf.php?c=SWAC","SWAC",2024
"Arkansas St.","team.php?team=Arkansas+St.","Arkansas+St.","SB","conf.php?c=SB","SB",2024
"Army","team.php?team=Army","Army","Pat","conf.php?c=Pat","Pat",2024
"Auburn","team.php?team=Auburn","Auburn","SEC","conf.php?c=SEC","SEC",2024
"Austin Peay","team.php?team=Austin+Peay","Austin+Peay","ASun","conf.php?c=ASun","ASun",2024
"BYU","team.php?team=BYU","BYU","B12","conf.php?c=B12","B12",2024
"Ball St.","team.php?team=Ball+St.","Ball+St.","MAC","conf.php?c=MAC","MAC",2024
"Baylor","team.php?team=Baylor","Baylor","B12","conf.php?c=B12","B12",2024
"Bellarmine","team.php?team=Bellarmine","Bellarmine","ASun","conf.php?c=ASun","ASun",2024
"Belmont","team.php?team=Belmont","Belmont","MVC","conf.php?c=MVC","MVC",2024
"Bethune Cookman","team.php?team=Bethune+Cookman","Bethune+Cookman","SWAC","conf.php?c=SWAC","SWAC",2024
"Binghamton","team.php?team=Binghamton","Binghamton","AE","conf.php?c=AE","AE",2024
"Boise St.","team.php?team=Boise+St.","Boise+St.","MWC","conf.php?c=MWC","MWC",2024
"Boston College","team.php?team=Boston+College","Boston+College","ACC","conf.php?c=ACC","ACC",2024
"Boston University","team.php?team=Boston+University","Boston+University","Pat","conf.php?c=Pat","Pat",2024
