"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Abilene Christian","team.php?team=Abilene+Christian","Abilene+Christian","WAC","conf.php?c=WAC","WAC",2023
"Air Force","team.php?team=Air+Force","Air+Force","MWC","conf.php?c=MWC","MWC",2023
"Akron","team.php?team=Akron","Akron","MAC","conf.php?c=MAC","MAC",2023
"Alabama","team.php?team=Alabama","Alabama","SEC","conf.php?c=SEC","SEC",2023
"Alabama A&M","team.php?team=Alabama+A%26M","Alabama+A%26M","SWAC","conf.php?c=SWAC","SWAC",2023
"Alabama St.","team.php?team=Alabama+St.","Alabama+St.","SWAC","conf.php?c=SWAC","SWAC",2023
"Albany","team.php?team=Albany","Albany","AE","conf.php?c=AE","AE",2023
"Alcorn St.","team.php?team=Alcorn+St.","Alcorn+St.","SWAC","conf.php?c=SWAC","SWAC",2023
"American","team.php?team=American","American","Pat","conf.php?c=Pat","Pat",2023
"Appalachian St.","team.php?team=Appalachian+St.","Appalachian+St.","SB","conf.php?c=SB","SB",2023
"Arizona","team.php?team=Arizona","Arizona","P12","conf.php?c=P12","P12",2023
"Arizona St.","team.php?team=Arizona+St.","Arizona+St.","P12","conf.php?c=P12","P12",2023
"Arkansas","team.php?team=Arkansas","Arkansas","SEC","conf.php?c=SEC","SEC",2023
"Arkansas Pine Bluff","team.php?team=Arkansas+Pine+Bluff","Arkansas+Pine+Bluff","SWAC","conf.php?c=SWAC","SWAC",2023
"Arkansas St.","team.php?team=Arkansas+St.","Arkansas+St.","SB","conf.php?c=SB","SB",2023
"Army","team.php?team=Army","Army","Pat","conf.php?c=Pat","Pat",2023
"Auburn","team.php?team=Auburn","Auburn","SEC","conf.php?c=SEC","SEC",2023
"Austin Peay","team.php?team=Austin+Peay","Austin+Peay","ASun","conf.php?c=ASun","ASun",2023
"BYU","team.php?team=BYU","BYU","WCC","conf.php?c=WCC","WCC",2023
"Ball St.","team.php?team=Ball+St.","Ball+St.","MAC","conf.php?c=MAC","MAC",2023
"Baylor","team.php?team=Baylor","Baylor","B12","conf.php?c=B12","B12",2023
"Bellarmine","team.php?team=Bellarmine","Bellarmine","ASun","conf.php?c=ASun","ASun",2023
"Belmont","team.php?team=Belmont","Belmont","MVC","conf.php?c=MVC","MVC",2023
"Bethune Cookman","team.php?team=Bethune+Cookman","Bethune+Cookman","SWAC","conf.php?c=SWAC","SWAC",2023
"Binghamton","team.php?team=Binghamton","Binghamton","AE","conf.php?c=AE","AE",2023
"Boise St.","team.php?team=Boise+St.","Boise+St.","MWC","conf.php?c=MWC","MWC",2023
"Boston College","team.php?team=Boston+College","Boston+College","ACC","conf.php?c=ACC","ACC",2023
"Boston University","team.php?team=Boston+University","Boston+University","Pat","conf.php?c=Pat","Pat",2023
"Bowling Green","team.php?team=Bowling+Green","Bowling+Green","MAC","conf.php?c=MAC","MAC",2023
"Bradley","team.php?team=Bradley","Bradley","MVC","conf.php?c=MVC","MVC",2023
"Brown","team.php?team=Brown","Brown","Ivy","conf.php?c=Ivy","Ivy",2023
"Bryant","team.php?team=Bryant","Bryant","AE","conf.php?c=AE","AE",2023
"Bucknell","team.php?team=Bucknell","Bucknell","Pat","conf.php?c=Pat","Pat",2023
"Buffalo","team.php?team=Buffalo","Buffalo","MAC","conf.php?c=MAC","MAC",2023
"Butler","team.php?team=Butler","Butler","BE","conf.php?c=BE","BE",2023
"Cal Baptist","team.php?team=Cal+Baptist","Cal+Baptist","WAC","conf.php?c=WAC","WAC",2023
"Cal Poly","team.php?team=Cal+Poly","Cal+Poly","BW","conf.php?c=BW","BW",2023
"Cal St. Bakersfield","team.php?team=Cal+St.+Bakersfield","Cal+St.+Bakersfield","BW","conf.php?c=BW","BW",2023
"Cal St. Fullerton","team.php?team=Cal+St.+Fullerton","Cal+St.+Fullerton","BW","conf.php?c=BW","BW",2023
