"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Cal St. Northridge","team.php?team=Cal+St.+Northridge","Cal+St.+Northridge","BW","conf.php?c=BW","BW",2023
"California","team.php?team=California","California","P12","conf.php?c=P12","P12",2023
"Campbell","team.php?team=Campbell","Campbell","BSth","conf.php?c=BSth","BSth",2023
"Canisius","team.php?team=Canisius","Canisius","MAAC","conf.php?c=MAAC","MAAC",2023
"Central Arkansas","team.php?team=Central+Arkansas","Central+Arkansas","ASun","conf.php?c=ASun","ASun",2023
"Central Connecticut","team.php?team=Central+Connecticut","Central+Connecticut","NEC","conf.php?c=NEC","NEC",2023
"Central Michigan","team.php?team=Central+Michigan","Central+Michigan","MAC","conf.php?c=MAC","MAC",2023
"Charleston","team.php?team=Charleston","Charleston","CAA","conf.php?c=CAA","CAA",2023
"Charleston Southern","team.php?team=Charleston+Southern","Charleston+Southern","BSth","conf.php?c=BSth","BSth",2023
"Charlotte","team.php?team=Charlotte","Charlotte","CUSA","conf.php?c=CUSA","CUSA",2023
"Chattanooga","team.php?team=Chattanooga","Chattanooga","SC","conf.php?c=SC","SC",2023
"Chicago St.","team.php?team=Chicago+St.","Chicago+St.","ind","conf.php?c=ind","ind",2023
"Cincinnati","team.php?team=Cincinnati","Cincinnati","Amer","conf.php?c=Amer","Amer",2023
"Clemson","team.php?team=Clemson","Clemson","ACC","conf.php?c=ACC","ACC",2023
"Cleveland St.","team.php?team=Cleveland+St.","Cleveland+St.","Horz","conf.php?c=Horz","Horz",2023
"Coastal Carolina","team.php?team=Coastal+Carolina","Coastal+Carolina","SB","conf.php?c=SB","SB",2023
"Colgate","team.php?team=Colgate","Colgate","Pat","conf.php?c=Pat","Pat",2023
"Colorado","team.php?team=Colorado","Colorado","P12","conf.php?c=P12","P12",2023
"Colorado St.","team.php?team=Colorado+St.","Colorado+St.","MWC","conf.php?c=MWC","MWC",2023
"Columbia","team.php?team=Columbia","Columbia","Ivy","conf.php?c=Ivy","Ivy",2023
"Connecticut","team.php?team=Connecticut","Connecticut","BE","conf.php?c=BE","BE",2023
"Coppin St.","team.php?team=Coppin+St.","Coppin+St.","MEAC","conf.php?c=MEAC","MEAC",2023
"Cornell","team.php?team=Cornell","Cornell","Ivy","conf.php?c=Ivy","Ivy",2023
"Creighton","team.php?team=Creighton","Creighton","BE","conf.php?c=BE","BE",2023
"Dartmouth","team.php?team=Dartmouth","Dartmouth","Ivy","conf.php?c=Ivy","Ivy",2023
"Davidson","team.php?team=Davidson","Davidson","A10","conf.php?c=A10","A10",2023
"Dayton","team.php?team=Dayton","Dayton","A10","conf.php?c=A10","A10",2023
"DePaul","team.php?team=DePaul","DePaul","BE","conf.php?c=BE","BE",2023
"Delaware","team.php?team=Delaware","Delaware","CAA","conf.php?c=CAA","CAA",2023
"Delaware St.","team.php?team=Delaware+St.","Delaware+St.","MEAC","conf.php?c=MEAC","MEAC",2023
"Denver","team.php?team=Denver","Denver","Sum","conf.php?c=Sum","Sum",2023
"Detroit Mercy","team.php?team=Detroit+Mercy","Detroit+Mercy","Horz","conf.php?c=Horz","Horz",2023
"Drake","team.php?team=Drake","Drake","MVC","conf.php?c=MVC","MVC",2023
"Drexel","team.php?team=Drexel","Drexel","CAA","conf.php?c=CAA","CAA",2023
"Duke","team.php?team=Duke","Duke","ACC","conf.php?c=ACC","ACC",2023
"Duquesne","team.php?team=Duquesne","Duquesne","A10","conf.php?c=A10","A10",2023
"East Carolina","team.php?team=East+Carolina","East+Carolina","Amer","conf.php?c=Amer","Amer",2023
"East Tennessee St.","team.php?team=East+Tennessee+St.","East+Tennessee+St.","SC","conf.php?c=SC","SC",2023
"Eastern Illinois","team.php?team=Eastern+Illinois","Eastern+Illinois","OVC","conf.php?c=OVC","OVC",2023
"Eastern Kentucky","team.php?team=Eastern+Kentucky","Eastern+Kentucky","ASun","conf.php?c=ASun","ASun",2023
"Eastern Michigan","team.php?team=Eastern+Michigan","Eastern+Michigan","MAC","conf.php?c=MAC","MAC",2023
"Eastern Washington","team.php?team=Eastern+Washington","Eastern+Washington","BSky","conf.php?c=BSky","BSky",2023
"Elon","team.php?team=Elon","Elon","CAA","conf.php?c=CAA","CAA",2023
"Evansville","team.php?team=Evansville","Evansville","MVC","conf.php?c=MVC","MVC",2023
"FIU","team.php?team=FIU","FIU","CUSA","conf.php?c=CUSA","CUSA",2023
"Fairfield","team.php?team=Fairfield","Fairfield","MAAC","conf.php?c=MAAC","MAAC",2023
"Fairleigh Dickinson","team.php?team=Fairleigh+Dickinson","Fairleigh+Dickinson","NEC","conf.php?c=NEC","NEC",2023
"Florida","team.php?team=Florida","Florida","SEC","conf.php?c=SEC","SEC",2023
"Florida A&M","team.php?team=Florida+A%26M","Florida+A%26M","SWAC","conf.php?c=SWAC","SWAC",2023
"Florida Atlantic","team.php?team=Florida+Atlantic","Florida+Atlantic","CUSA","conf.php?c=CUSA","CUSA",2023
"Florida Gulf Coast","team.php?team=Florida+Gulf+Coast","Florida+Gulf+Coast","ASun","conf.php?c=ASun","ASun",2023
"Florida St.","team.php?team=Florida+St.","Florida+St.","ACC","conf.php?c=ACC","ACC",2023
"Fordham","team.php?team=Fordham","Fordham","A10","conf.php?c=A10","A10",2023
"Fresno St.","team.php?team=Fresno+St.","Fresno+St.","MWC","conf.php?c=MWC","MWC",2023
"Furman","team.php?team=Furman","Furman","SC","conf.php?c=SC","SC",2023
"Gardner Webb","team.php?team=Gardner+Webb","Gardner+Webb","BSth","conf.php?c=BSth","BSth",2023
"George Mason","team.php?team=George+Mason","George+Mason","A10","conf.php?c=A10","A10",2023
"George Washington","team.php?team=George+Washington","George+Washington","A10","conf.php?c=A10","A10",2023
"Georgetown","team.php?team=Georgetown","Georgetown","BE","conf.php?c=BE","BE",2023
"Georgia","team.php?team=Georgia","Georgia","SEC","conf.php?c=SEC","SEC",2023
"Georgia Southern","team.php?team=Georgia+Southern","Georgia+Southern","SB","conf.php?c=SB","SB",2023
"Georgia St.","team.php?team=Georgia+St.","Georgia+St.","SB","conf.php?c=SB","SB",2023
"Georgia Tech","team.php?team=Georgia+Tech","Georgia+Tech","ACC","conf.php?c=ACC","ACC",2023
"Gonzaga","team.php?team=Gonzaga","Gonzaga","WCC","conf.php?c=WCC","WCC",2023
"Grambling St.","team.php?team=Grambling+St.","Grambling+St.","SWAC","conf.php?c=SWAC","SWAC",2023
"Grand Canyon","team.php?team=Grand+Canyon","Grand+Canyon","WAC","conf.php?c=WAC","WAC",2023
"Green Bay","team.php?team=Green+Bay","Green+Bay","Horz","conf.php?c=Horz","Horz",2023
"Hampton","team.php?team=Hampton","Hampton","CAA","conf.php?c=CAA","CAA",2023
"Hartford","team.php?team=Hartford","Hartford","ind","conf.php?c=ind","ind",2023
"Harvard","team.php?team=Harvard","Harvard","Ivy","conf.php?c=Ivy","Ivy",2023
"Hawaii","team.php?team=Hawaii","Hawaii","BW","conf.php?c=BW","BW",2023
"High Point","team.php?team=High+Point","High+Point","BSth","conf.php?c=BSth","BSth",2023
"Hofstra","team.php?team=Hofstra","Hofstra","CAA","conf.php?c=CAA","CAA",2023
"Holy Cross","team.php?team=Holy+Cross","Holy+Cross","Pat","conf.php?c=Pat","Pat",2023
"Houston","team.php?team=Houston","Houston","Amer","conf.php?c=Amer","Amer",2023
"Houston Christian","team.php?team=Houston+Christian","Houston+Christian","Slnd","conf.php?c=Slnd","Slnd",2023
"Howard","team.php?team=Howard","Howard","MEAC","conf.php?c=MEAC","MEAC",2023
"IUPUI","team.php?team=IUPUI","IUPUI","Horz","conf.php?c=Horz","Horz",2023
"Idaho","team.php?team=Idaho","Idaho","BSky","conf.php?c=BSky","BSky",2023
"Idaho St.","team.php?team=Idaho+St.","Idaho+St.","BSky","conf.php?c=BSky","BSky",2023
"Illinois","team.php?team=Illinois","Illinois","B10","conf.php?c=B10","B10",2023
"Illinois Chicago","team.php?team=Illinois+Chicago","Illinois+Chicago","MVC","conf.php?c=MVC","MVC",2023
"Illinois St.","team.php?team=Illinois+St.","Illinois+St.","MVC","conf.php?c=MVC","MVC",2023
"Incarnate Word","team.php?team=Incarnate+Word","Incarnate+Word","Slnd","conf.php?c=Slnd","Slnd",2023
"Indiana","team.php?team=Indiana","Indiana","B10","conf.php?c=B10","B10",2023
"Indiana St.","team.php?team=Indiana+St.","Indiana+St.","MVC","conf.php?c=MVC","MVC",2023
"Iona","team.php?team=Iona","Iona","MAAC","conf.php?c=MAAC","MAAC",2023
"Iowa","team.php?team=Iowa","Iowa","B10","conf.php?c=B10","B10",2023
"Iowa St.","team.php?team=Iowa+St.","Iowa+St.","B12","conf.php?c=B12","B12",2023
"Jackson St.","team.php?team=Jackson+St.","Jackson+St.","SWAC","conf.php?c=SWAC","SWAC",2023
"Jacksonville","team.php?team=Jacksonville","Jacksonville","ASun","conf.php?c=ASun","ASun",2023
"Jacksonville St.","team.php?team=Jacksonville+St.","Jacksonville+St.","ASun","conf.php?c=ASun","ASun",2023
"James Madison","team.php?team=James+Madison","James+Madison","SB","conf.php?c=SB","SB",2023
"Kansas","team.php?team=Kansas","Kansas","B12","conf.php?c=B12","B12",2023
"Kansas St.","team.php?team=Kansas+St.","Kansas+St.","B12","conf.php?c=B12","B12",2023
"Kennesaw St.","team.php?team=Kennesaw+St.","Kennesaw+St.","ASun","conf.php?c=ASun","ASun",2023
"Kent St.","team.php?team=Kent+St.","Kent+St.","MAC","conf.php?c=MAC","MAC",2023
"Kentucky","team.php?team=Kentucky","Kentucky","SEC","conf.php?c=SEC","SEC",2023
"LIU","team.php?team=LIU","LIU","NEC","conf.php?c=NEC","NEC",2023
"LSU","team.php?team=LSU","LSU","SEC","conf.php?c=SEC","SEC",2023
"La Salle","team.php?team=La+Salle","La+Salle","A10","conf.php?c=A10","A10",2023
"Lafayette","team.php?team=Lafayette","Lafayette","Pat","conf.php?c=Pat","Pat",2023
"Lamar","team.php?team=Lamar","Lamar","Slnd","conf.php?c=Slnd","Slnd",2023
"Lehigh","team.php?team=Lehigh","Lehigh","Pat","conf.php?c=Pat","Pat",2023
"Liberty","team.php?team=Liberty","Liberty","ASun","conf.php?c=ASun","ASun",2023
"Lindenwood","team.php?team=Lindenwood","Lindenwood","OVC","conf.php?c=OVC","OVC",2023
"Lipscomb","team.php?team=Lipscomb","Lipscomb","ASun","conf.php?c=ASun","ASun",2023
"Little Rock","team.php?team=Little+Rock","Little+Rock","OVC","conf.php?c=OVC","OVC",2023
"Long Beach St.","team.php?team=Long+Beach+St.","Long+Beach+St.","BW","conf.php?c=BW","BW",2023
"Longwood","team.php?team=Longwood","Longwood","BSth","conf.php?c=BSth","BSth",2023
"Louisiana","team.php?team=Louisiana","Louisiana","SB","conf.php?c=SB","SB",2023
"Louisiana Monroe","team.php?team=Louisiana+Monroe","Louisiana+Monroe","SB","conf.php?c=SB","SB",2023
"Louisiana Tech","team.php?team=Louisiana+Tech","Louisiana+Tech","CUSA","conf.php?c=CUSA","CUSA",2023
"Louisville","team.php?team=Louisville","Louisville","ACC","conf.php?c=ACC","ACC",2023
"Loyola Chicago","team.php?team=Loyola+Chicago","Loyola+Chicago","A10","conf.php?c=A10","A10",2023
"Loyola MD","team.php?team=Loyola+MD","Loyola+MD","Pat","conf.php?c=Pat","Pat",2023
"Loyola Marymount","team.php?team=Loyola+Marymount","Loyola+Marymount","WCC","conf.php?c=WCC","WCC",2023
"Maine","team.php?team=Maine","Maine","AE","conf.php?c=AE","AE",2023
"Manhattan","team.php?team=Manhattan","Manhattan","MAAC","conf.php?c=MAAC","MAAC",2023
"Marist","team.php?team=Marist","Marist","MAAC","conf.php?c=MAAC","MAAC",2023
"Marquette","team.php?team=Marquette","Marquette","BE","conf.php?c=BE","BE",2023
"Marshall","team.php?team=Marshall","Marshall","SB","conf.php?c=SB","SB",2023
"Maryland","team.php?team=Maryland","Maryland","B10","conf.php?c=B10","B10",2023
"Maryland Eastern Shore","team.php?team=Maryland+Eastern+Shore","Maryland+Eastern+Shore","MEAC","conf.php?c=MEAC","MEAC",2023
"Massachusetts","team.php?team=Massachusetts","Massachusetts","A10","conf.php?c=A10","A10",2023
"McNeese St.","team.php?team=McNeese+St.","McNeese+St.","Slnd","conf.php?c=Slnd","Slnd",2023
"Memphis","team.php?team=Memphis","Memphis","Amer","conf.php?c=Amer","Amer",2023
"Mercer","team.php?team=Mercer","Mercer","SC","conf.php?c=SC","SC",2023
"Merrimack","team.php?team=Merrimack","Merrimack","NEC","conf.php?c=NEC","NEC",2023
"Miami FL","team.php?team=Miami+FL","Miami+FL","ACC","conf.php?c=ACC","ACC",2023
"Miami OH","team.php?team=Miami+OH","Miami+OH","MAC","conf.php?c=MAC","MAC",2023
"Michigan","team.php?team=Michigan","Michigan","B10","conf.php?c=B10","B10",2023
"Michigan St.","team.php?team=Michigan+St.","Michigan+St.","B10","conf.php?c=B10","B10",2023
"Middle Tennessee","team.php?team=Middle+Tennessee","Middle+Tennessee","CUSA","conf.php?c=CUSA","CUSA",2023
"Milwaukee","team.php?team=Milwaukee","Milwaukee","Horz","conf.php?c=Horz","Horz",2023
"Minnesota","team.php?team=Minnesota","Minnesota","B10","conf.php?c=B10","B10",2023
"Mississippi","team.php?team=Mississippi","Mississippi","SEC","conf.php?c=SEC","SEC",2023
"Mississippi St.","team.php?team=Mississippi+St.","Mississippi+St.","SEC","conf.php?c=SEC","SEC",2023
"Mississippi Valley St.","team.php?team=Mississippi+Valley+St.","Mississippi+Valley+St.","SWAC","conf.php?c=SWAC","SWAC",2023
"Missouri","team.php?team=Missouri","Missouri","SEC","conf.php?c=SEC","SEC",2023
"Missouri St.","team.php?team=Missouri+St.","Missouri+St.","MVC","conf.php?c=MVC","MVC",2023
"Monmouth","team.php?team=Monmouth","Monmouth","CAA","conf.php?c=CAA","CAA",2023
"Montana","team.php?team=Montana","Montana","BSky","conf.php?c=BSky","BSky",2023
"Montana St.","team.php?team=Montana+St.","Montana+St.","BSky","conf.php?c=BSky","BSky",2023
"Morehead St.","team.php?team=Morehead+St.","Morehead+St.","OVC","conf.php?c=OVC","OVC",2023
"Morgan St.","team.php?team=Morgan+St.","Morgan+St.","MEAC","conf.php?c=MEAC","MEAC",2023
"Mount St. Mary's","team.php?team=Mount+St.+Mary%27s","Mount+St.+Mary%27s","MAAC","conf.php?c=MAAC","MAAC",2023
"Murray St.","team.php?team=Murray+St.","Murray+St.","MVC","conf.php?c=MVC","MVC",2023
"N.C. State","team.php?team=N.C.+State","N.C.+State","ACC","conf.php?c=ACC","ACC",2023
"NJIT","team.php?team=NJIT","NJIT","AE","conf.php?c=AE","AE",2023
"Navy","team.php?team=Navy","Navy","Pat","conf.php?c=Pat","Pat",2023
"Nebraska","team.php?team=Nebraska","Nebraska","B10","conf.php?c=B10","B10",2023
"Nebraska Omaha","team.php?team=Nebraska+Omaha","Nebraska+Omaha","Sum","conf.php?c=Sum","Sum",2023
"Nevada","team.php?team=Nevada","Nevada","MWC","conf.php?c=MWC","MWC",2023
"New Hampshire","team.php?team=New+Hampshire","New+Hampshire","AE","conf.php?c=AE","AE",2023
"New Mexico","team.php?team=New+Mexico","New+Mexico","MWC","conf.php?c=MWC","MWC",2023
"New Mexico St.","team.php?team=New+Mexico+St.","New+Mexico+St.","WAC","conf.php?c=WAC","WAC",2023
"New Orleans","team.php?team=New+Orleans","New+Orleans","Slnd","conf.php?c=Slnd","Slnd",2023
"Niagara","team.php?team=Niagara","Niagara","MAAC","conf.php?c=MAAC","MAAC",2023
"Nicholls St.","team.php?team=Nicholls+St.","Nicholls+St.","Slnd","conf.php?c=Slnd","Slnd",2023
"Norfolk St.","team.php?team=Norfolk+St.","Norfolk+St.","MEAC","conf.php?c=MEAC","MEAC",2023
"North Alabama","team.php?team=North+Alabama","North+Alabama","ASun","conf.php?c=ASun","ASun",2023
"North Carolina","team.php?team=North+Carolina","North+Carolina","ACC","conf.php?c=ACC","ACC",2023
"North Carolina A&T","team.php?team=North+Carolina+A%26T","North+Carolina+A%26T","CAA","conf.php?c=CAA","CAA",2023
"North Carolina Central","team.php?team=North+Carolina+Central","North+Carolina+Central","MEAC","conf.php?c=MEAC","MEAC",2023
"North Dakota","team.php?team=North+Dakota","North+Dakota","Sum","conf.php?c=Sum","Sum",2023
"North Dakota St.","team.php?team=North+Dakota+St.","North+Dakota+St.","Sum","conf.php?c=Sum","Sum",2023
"North Florida","team.php?team=North+Florida","North+Florida","ASun","conf.php?c=ASun","ASun",2023
"North Texas","team.php?team=North+Texas","North+Texas","CUSA","conf.php?c=CUSA","CUSA",2023
"Northeastern","team.php?team=Northeastern","Northeastern","CAA","conf.php?c=CAA","CAA",2023
"Northern Arizona","team.php?team=Northern+Arizona","Northern+Arizona","BSky","conf.php?c=BSky","BSky",2023
"Northern Colorado","team.php?team=Northern+Colorado","Northern+Colorado","BSky","conf.php?c=BSky","BSky",2023
"Northern Illinois","team.php?team=Northern+Illinois","Northern+Illinois","MAC","conf.php?c=MAC","MAC",2023
"Northern Iowa","team.php?team=Northern+Iowa","Northern+Iowa","MVC","conf.php?c=MVC","MVC",2023
"Northern Kentucky","team.php?team=Northern+Kentucky","Northern+Kentucky","Horz","conf.php?c=Horz","Horz",2023
"Northwestern","team.php?team=Northwestern","Northwestern","B10","conf.php?c=B10","B10",2023
"Northwestern St.","team.php?team=Northwestern+St.","Northwestern+St.","Slnd","conf.php?c=Slnd","Slnd",2023
"Notre Dame","team.php?team=Notre+Dame","Notre+Dame","ACC","conf.php?c=ACC","ACC",2023
"Oakland","team.php?team=Oakland","Oakland","Horz","conf.php?c=Horz","Horz",2023
"Ohio","team.php?team=Ohio","Ohio","MAC","conf.php?c=MAC","MAC",2023
"Ohio St.","team.php?team=Ohio+St.","Ohio+St.","B10","conf.php?c=B10","B10",2023
"Oklahoma","team.php?team=Oklahoma","Oklahoma","B12","conf.php?c=B12","B12",2023
"Oklahoma St.","team.php?team=Oklahoma+St.","Oklahoma+St.","B12","conf.php?c=B12","B12",2023
"Old Dominion","team.php?team=Old+Dominion","Old+Dominion","SB","conf.php?c=SB","SB",2023
"Oral Roberts","team.php?team=Oral+Roberts","Oral+Roberts","Sum","conf.php?c=Sum","Sum",2023
"Oregon","team.php?team=Oregon","Oregon","P12","conf.php?c=P12","P12",2023
"Oregon St.","team.php?team=Oregon+St.","Oregon+St.","P12","conf.php?c=P12","P12",2023
"Pacific","team.php?team=Pacific","Pacific","WCC","conf.php?c=WCC","WCC",2023
"Penn","team.php?team=Penn","Penn","Ivy","conf.php?c=Ivy","Ivy",2023
"Penn St.","team.php?team=Penn+St.","Penn+St.","B10","conf.php?c=B10","B10",2023
"Pepperdine","team.php?team=Pepperdine","Pepperdine","WCC","conf.php?c=WCC","WCC",2023
"Pittsburgh","team.php?team=Pittsburgh","Pittsburgh","ACC","conf.php?c=ACC","ACC",2023
"Portland","team.php?team=Portland","Portland","WCC","conf.php?c=WCC","WCC",2023
"Portland St.","team.php?team=Portland+St.","Portland+St.","BSky","conf.php?c=BSky","BSky",2023
"Prairie View A&M","team.php?team=Prairie+View+A%26M","Prairie+View+A%26M","SWAC","conf.php?c=SWAC","SWAC",2023
"Presbyterian","team.php?team=Presbyterian","Presbyterian","BSth","conf.php?c=BSth","BSth",2023
"Princeton","team.php?team=Princeton","Princeton","Ivy","conf.php?c=Ivy","Ivy",2023
"Providence","team.php?team=Providence","Providence","BE","conf.php?c=BE","BE",2023
"Purdue","team.php?team=Purdue","Purdue","B10","conf.php?c=B10","B10",2023
"Purdue Fort Wayne","team.php?team=Purdue+Fort+Wayne","Purdue+Fort+Wayne","Horz","conf.php?c=Horz","Horz",2023
"Queens","team.php?team=Queens","Queens","ASun","conf.php?c=ASun","ASun",2023
"Quinnipiac","team.php?team=Quinnipiac","Quinnipiac","MAAC","conf.php?c=MAAC","MAAC",2023
"Radford","team.php?team=Radford","Radford","BSth","conf.php?c=BSth","BSth",2023
"Rhode Island","team.php?team=Rhode+Island","Rhode+Island","A10","conf.php?c=A10","A10",2023
"Rice","team.php?team=Rice","Rice","CUSA","conf.php?c=CUSA","CUSA",2023
"Richmond","team.php?team=Richmond","Richmond","A10","conf.php?c=A10","A10",2023
"Rider","team.php?team=Rider","Rider","MAAC","conf.php?c=MAAC","MAAC",2023
"Robert Morris","team.php?team=Robert+Morris","Robert+Morris","Horz","conf.php?c=Horz","Horz",2023
"Rutgers","team.php?team=Rutgers","Rutgers","B10","conf.php?c=B10","B10",2023
"SIU Edwardsville","team.php?team=SIU+Edwardsville","SIU+Edwardsville","OVC","conf.php?c=OVC","OVC",2023
"SMU","team.php?team=SMU","SMU","Amer","conf.php?c=Amer","Amer",2023
"Sacramento St.","team.php?team=Sacramento+St.","Sacramento+St.","BSky","conf.php?c=BSky","BSky",2023
"Sacred Heart","team.php?team=Sacred+Heart","Sacred+Heart","NEC","conf.php?c=NEC","NEC",2023
"Saint Joseph's","team.php?team=Saint+Joseph%27s","Saint+Joseph%27s","A10","conf.php?c=A10","A10",2023
"Saint Louis","team.php?team=Saint+Louis","Saint+Louis","A10","conf.php?c=A10","A10",2023
"Saint Mary's","team.php?team=Saint+Mary%27s","Saint+Mary%27s","WCC","conf.php?c=WCC","WCC",2023
"Saint Peter's","team.php?team=Saint+Peter%27s","Saint+Peter%27s","MAAC","conf.php?c=MAAC","MAAC",2023
"Sam Houston St.","team.php?team=Sam+Houston+St.","Sam+Houston+St.","WAC","conf.php?c=WAC","WAC",2023
"Samford","team.php?team=Samford","Samford","SC","conf.php?c=SC","SC",2023
"San Diego","team.php?team=San+Diego","San+Diego","WCC","conf.php?c=WCC","WCC",2023
"San Diego St.","team.php?team=San+Diego+St.","San+Diego+St.","MWC","conf.php?c=MWC","MWC",2023
"San Francisco","team.php?team=San+Francisco","San+Francisco","WCC","conf.php?c=WCC","WCC",2023
"San Jose St.","team.php?team=San+Jose+St.","San+Jose+St.","MWC","conf.php?c=MWC","MWC",2023
"Santa Clara","team.php?team=Santa+Clara","Santa+Clara","WCC","conf.php?c=WCC","WCC",2023
"Seattle","team.php?team=Seattle","Seattle","WAC","conf.php?c=WAC","WAC",2023
"Seton Hall","team.php?team=Seton+Hall","Seton+Hall","BE","conf.php?c=BE","BE",2023
"Siena","team.php?team=Siena","Siena","MAAC","conf.php?c=MAAC","MAAC",2023
"South Alabama","team.php?team=South+Alabama","South+Alabama","SB","conf.php?c=SB","SB",2023
"South Carolina","team.php?team=South+Carolina","South+Carolina","SEC","conf.php?c=SEC","SEC",2023
"South Carolina St.","team.php?team=South+Carolina+St.","South+Carolina+St.","MEAC","conf.php?c=MEAC","MEAC",2023
"South Dakota","team.php?team=South+Dakota","South+Dakota","Sum","conf.php?c=Sum","Sum",2023
"South Dakota St.","team.php?team=South+Dakota+St.","South+Dakota+St.","Sum","conf.php?c=Sum","Sum",2023
"South Florida","team.php?team=South+Florida","South+Florida","Amer","conf.php?c=Amer","Amer",2023
"Southeast Missouri St.","team.php?team=Southeast+Missouri+St.","Southeast+Missouri+St.","OVC","conf.php?c=OVC","OVC",2023
"Southeastern Louisiana","team.php?team=Southeastern+Louisiana","Southeastern+Louisiana","Slnd","conf.php?c=Slnd","Slnd",2023
"Southern","team.php?team=Southern","Southern","SWAC","conf.php?c=SWAC","SWAC",2023
"Southern Illinois","team.php?team=Southern+Illinois","Southern+Illinois","MVC","conf.php?c=MVC","MVC",2023
"Southern Indiana","team.php?team=Southern+Indiana","Southern+Indiana","OVC","conf.php?c=OVC","OVC",2023
"Southern Miss","team.php?team=Southern+Miss","Southern+Miss","SB","conf.php?c=SB","SB",2023
"Southern Utah","team.php?team=Southern+Utah","Southern+Utah","WAC","conf.php?c=WAC","WAC",2023
"St. Bonaventure","team.php?team=St.+Bonaventure","St.+Bonaventure","A10","conf.php?c=A10","A10",2023
"St. Francis NY","team.php?team=St.+Francis+NY","St.+Francis+NY","NEC","conf.php?c=NEC","NEC",2023
