"name","status","summary","duration_s"
"espn_mbb_athlete_stats","OK","list with 9 elements: Season Averages, Season Totals, Season Misc Totals, General, Offensive, Defensive, Rebounding, Shooting, Misc  |   Season Averages : 3 x 5  |   Season Totals : 3 x 5  |   Season Misc Totals : 3 x 5  |   General : 0 x 0  |   Offe",4.3
"espn_mbb_athletes_index","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 50 x 9  | cols: athlete_id, full_name, jersey, position, team_id, headshot, status, link, ref_url  ",4
"espn_mbb_award","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 9  | cols: league, season, award_id, name, description, athlete_id, team_id, athlete_ref, team_ref  ",3.7
"espn_mbb_betting","OK","list with 3 elements: pickcenter, againstTheSpread, predictor  |   pickcenter : 0 x 0  |   againstTheSpread : 0 x 0  |   predictor : 0 x 0 ",3.7
"espn_mbb_calendar","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 131 x 12  | cols: season, season_type, season_type_label, season_start_date, season_end_date, calendar_type, label, alternate_label, detail, value, start_date, end_date  ",6.7
"espn_mbb_coach","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 12  | cols: coach_id, uid, first_name, last_name, date_of_birth, birth_city, birth_state, n_career_records, n_coach_seasons, college_ref, team_ref, league  ",3.9
"espn_mbb_coach_record","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 5 x 12  | cols: league, coach_id, record_type_id, record_name, record_type, record_summary, record_display, stat_name, stat_abbrev, stat_display, value, stat_display_value  ",3.3
"espn_mbb_coach_season","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 13  | cols: league, season, coach_id, uid, first_name, last_name, date_of_birth, birth_city, birth_state, n_records, person_ref, college_ref  ... ",3.4
"espn_mbb_coaches","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 368 x 6  | cols: coach_id, first_name, last_name, full_name, experience, team_id  ",4.2
"espn_mbb_conferences","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 32 x 7  | cols: conference_uid, group_id, conference_name, conference_short_name, conference_logo, parent_group_id, conference_id  ",4.6
"espn_mbb_event_broadcasts","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 10  | cols: event_id, broadcast_id, type_id, type_short_name, type_long_name, market_id, market_type, names, lang, region  ",3.5
"espn_mbb_event_competitor_leaders","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 46 x 11  | cols: league, event_id, team_id, category_name, category_display, category_abbrev, rank, athlete_id, display_value, value, athlete_ref  ",3.8
"espn_mbb_event_competitor_linescores","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 4 x 7  | cols: league, event_id, team_id, period, value, display_value, source  ",5.4
"espn_mbb_event_competitor_records","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 4 x 11  | cols: league, event_id, team_id, record_id, name, abbreviation, display_name, short_display_name, type, summary, value  ",4.4
"espn_mbb_event_competitor_roster","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 5  | cols: league, event_id, team_id, athlete_id, ref  ",3.9
"espn_mbb_event_competitor_roster_entry","OK","class: NULL  | length: 0 ",4.2
"espn_mbb_event_competitor_score","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 8  | cols: league, event_id, team_id, value, display_value, winner, source_id, source_description  ",3.7
"espn_mbb_event_competitor_statistics","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 71 x 10  | cols: league, event_id, team_id, category_name, category_display, stat_name, stat_abbrev, stat_display, value, display_value  ",3.6
"espn_mbb_event_odds","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 9 x 12  | cols: event_id, provider_id, provider_name, details, over_under, spread, home_money_line, away_money_line, home_team_odds_open, home_team_odds_close, away_team_odds_open, away_team_",3
"espn_mbb_event_official_detail","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 10  | cols: league, event_id, official_id, first_name, last_name, full_name, display_name, position_id, position_name, order  ",3.9
"espn_mbb_event_officials","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 3 x 8  | cols: event_id, official_id, full_name, display_name, position_id, position_name, position_type, order  ",3.9
"espn_mbb_event_play","OK","class: NULL  | length: 0 ",3.4
"espn_mbb_event_play_personnel","OK","class: NULL  | length: 0 ",3.9
"espn_mbb_event_player_box","OK","class: NULL  | length: 0 ",3.9
"espn_mbb_event_powerindex","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 2 x 4  | cols: league, event_id, team_id, ref  ",3.3
"espn_mbb_event_predictor","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 16 x 13  | cols: league, event_id, name, short_name, last_modified, side, team_id, stat_name, stat_display, description, value, display_value  ... ",3.7
"espn_mbb_event_probabilities","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 50 x 10  | cols: event_id, sequence_number, play_id, period, clock, home_win_percentage, away_win_percentage, tie_percentage, secs_to_end_of_period, secs_to_end_of_game  ",3.5
"espn_mbb_event_propbets","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 13  | cols: league, event_id, provider_id, athlete_id, prop_type_id, prop_type_name, american, decimal, fraction, total, current_target, last_updated  ... ",3.6
"espn_mbb_event_situation","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 15  | cols: league, event_id, home_timeouts_current, home_timeouts_remaining, away_timeouts_current, away_timeouts_remaining, home_team_fouls, home_team_fouls_current, home_fouls_to_give,",4.1
"espn_mbb_franchise","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 16  | cols: id, uid, slug, location, name, nickname, abbreviation, display_name, short_display_name, color, is_active, league  ... ",3.8
"espn_mbb_franchises","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 200 x 3  | cols: franchise_id, ref, league  ",4.2
"espn_mbb_futures","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1794 x 11  | cols: season, league, market_id, market_name, market_type, market_display, provider_id, provider_name, team_id, odds_value, team_ref  ",4.8
"espn_mbb_game_all","OK","list with 3 elements: Plays, Team, Player  |   Plays : 360 x 53  |   Team : 2 x 57  |   Player : 30 x 54 ",5.3
"espn_mbb_game_rosters","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 34 x 151  | cols: athlete_id, athlete_uid, athlete_guid, athlete_type, sdr, first_name, last_name, full_name, athlete_display_name, short_name, weight, display_weight  ... ",6.9
"espn_mbb_injuries","EMPTY","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 0  | cols:   ",3.5
"espn_mbb_leaders","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 350 x 11  | cols: season, season_type, category, abbreviation, athlete_id, athlete_name, team_id, team_abbrev, value, rank, display_value  ",3.5
"espn_mbb_news","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 5 x 9  | cols: id, type, headline, description, published, premium, byline, link_web, league_id  ",4
"espn_mbb_pbp","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 360 x 53  | cols: id, sequence_number, text, away_score, home_score, scoring_play, score_value, wallclock, shooting_play, points_attempted, short_description, type_id  ... ",4.6
"espn_mbb_player_box","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 30 x 54  | cols: game_id, season, season_type, game_date, game_date_time, athlete_id, athlete_display_name, team_id, team_name, team_location, team_short_display_name, minutes  ... ",3.8
"espn_mbb_player_stats","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 207  | cols: athlete_id, athlete_uid, athlete_guid, athlete_type, sdr, first_name, last_name, full_name, display_name, short_name, weight, display_weight  ... ",4
"espn_mbb_position","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 7  | cols: position_id, name, display_name, abbreviation, leaf, parent_ref, league  ",3.3
"espn_mbb_positions","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 14 x 3  | cols: position_id, ref, league  ",3.8
"espn_mbb_powerindex","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1475 x 12  | cols: league, season, season_type, team_id, stat_name, abbreviation, display_name, description, value, display_value, last_updated, team_ref  ",5
"espn_mbb_rankings","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 81 x 39  | cols: id, name, short_name, type, headline, short_headline, current, previous, points, first_place_votes, trend, date  ... ",4.1
"espn_mbb_scoreboard","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 50 x 36  | cols: matchup, matchup_short, season, season_type, season_slug, game_id, game_uid, game_date, attendance, play_by_play_available, status_name, broadcast_market  ... ",4.4
"espn_mbb_season_awards","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 11 x 4  | cols: season, award_id, ref, league  ",3.7
"espn_mbb_season_group","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 15  | cols: league, season, season_type, group_id, uid, name, abbreviation, short_name, midsize_name, is_conference, slug, parent_ref  ... ",4.4
"espn_mbb_season_group_children","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 6  | cols: league, season, season_type, parent_group_id, child_group_id, ref  ",3.6
"espn_mbb_season_group_teams","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 10 x 6  | cols: league, season, season_type, group_id, team_id, ref  ",3.3
"espn_mbb_season_groups","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 4 x 5  | cols: league, season, season_type, group_id, ref  ",4
"espn_mbb_season_info","OK","list with 6 elements: Info, Types, Athletes, Coaches, Teams, Awards  |   Info : 1 x 6  |   Types : 1 x 2  |   Athletes : 1 x 2  |   Coaches : 0 x 0  |   Teams : 0 x 0 ",3.9
"espn_mbb_season_leaders","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 350 x 15  | cols: league, season, season_type, category_name, category_display, category_short, category_abbrev, rank, athlete_id, team_id, display_value, value  ... ",4.6
"espn_mbb_season_ranking","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 21 x 9  | cols: league, season, ranking_id, name, short_name, type, season_type, week, ref  ",3.8
"espn_mbb_season_rankings","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 2 x 4  | cols: league, season, ranking_id, ref  ",3.7
"espn_mbb_season_type","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 16  | cols: league, season, season_type, type, name, abbreviation, year, start_date, end_date, has_groups, has_standings, has_legs  ... ",3.6
"espn_mbb_season_types","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 4 x 4  | cols: league, season, season_type, ref  ",3.6
"espn_mbb_season_week","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 8  | cols: league, season, season_type, week, text, start_date, end_date, rankings_ref  ",3.1
"espn_mbb_season_weeks","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 24 x 5  | cols: league, season, season_type, week, ref  ",4.5
"espn_mbb_seasons","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 5  | cols: season, start_date, end_date, display_name, season_type_count  ",3.8
"espn_mbb_standings","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 348 x 86  | cols: team_id, team, avgpointsagainst, avgpointsfor, gamesbehind, leaguewinpercent, losses, playoffseed, pointdifferential, pointsagainst, pointsfor, streak  ... ",4.6
"espn_mbb_team","OK","list with 5 elements: Info, Record, NextEvent, StandingSummary, Coaches  |   Info : 1 x 13  |   Record : 3 x 4  |   NextEvent : 1 x 4  |   StandingSummary : 1 x 1  |   Coaches : 0 x 0 ",4.1
"espn_mbb_team_box","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 2 x 57  | cols: game_id, season, season_type, game_date, game_date_time, team_id, team_uid, team_slug, team_location, team_name, team_abbreviation, team_display_name  ... ",3.8
"espn_mbb_team_current_roster","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 25 x 66  | cols: team_id, team_uid, team_slug, team_location, team_name, team_nickname, team_abbreviation, team_display_name, team_short_name, team_color, team_alternate_color, team_is_active",3.7
"espn_mbb_team_injuries","EMPTY","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 0  | cols:   ",3.8
"espn_mbb_team_leaders","EMPTY","class: tbl_df,tbl,data.frame  | dim: 0 x 0  | cols:   ",3.8
"espn_mbb_team_news","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 5 x 9  | cols: id, type, headline, description, published, premium, byline, link_web, league_id  ",3.3
"espn_mbb_team_odds_records","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 60 x 13  | cols: league, team_id, season, season_type, category_type, category_abbrev, category_short, category_display, stat_type, stat_abbrev, stat_display, value  ... ",3.7
"espn_mbb_team_record","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 12 x 14  | cols: league, team_id, season, season_type, record_id, name, abbreviation, display_name, short_display_name, description, type, summary  ... ",4.6
"espn_mbb_team_record_detail","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 20 x 15  | cols: league, team_id, season, season_type, record_id, record_name, record_abbrev, record_display, record_type, record_summary, stat_name, stat_abbrev  ... ",4.1
"espn_mbb_team_roster","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 14 x 15  | cols: athlete_id, full_name, jersey, position_abbrev, position_name, height, weight, age, birth_date, birth_place, headshot, link_web  ... ",4.1
"espn_mbb_team_schedule","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 34 x 21  | cols: event_id, season, season_type, week, date, name, short_name, opponent_id, opponent_abbrev, home_away, neutral_site, conference_competition  ... ",4.1
"espn_mbb_team_season_profile","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 35  | cols: id, guid, uid, slug, location, name, nickname, abbreviation, display_name, short_display_name, color, alternate_color  ... ",3.9
"espn_mbb_team_season_roster","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 23 x 5  | cols: league, team_id, season, athlete_id, ref  ",4.2
"espn_mbb_team_season_statistics","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 77 x 13  | cols: league, season, season_type, team_id, category_name, category_display, stat_name, stat_abbrev, stat_display, value, display_value, rank  ... ",3.8
"espn_mbb_team_stats","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 168  | cols: team_id, team_guid, team_uid, team_sdr, team_slug, team_location, team_name, team_nickname, team_abbreviation, team_display_name, team_short_display_name, team_color  ... ",4.1
"espn_mbb_teams","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 370 x 32  | cols: abbreviation, alternate_color, color, display_name, team_id, team, logo, logo_dark, logos_href_3, logos_href_4, logos_href_5, logos_href_6  ... ",6.6
"espn_mbb_tournament","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 4  | cols: tournament_id, display_name, seasons_ref, league  ",3.2
"espn_mbb_tournament_season","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 8  | cols: league, tournament_id, season, display_name, short_display_name, number_of_rounds, season_ref, bracketology_ref  ",3.7
"espn_mbb_tournament_seasons","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 14 x 4  | cols: league, tournament_id, season, ref  ",3.7
"espn_mbb_tournaments","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 38 x 3  | cols: tournament_id, ref, league  ",3.4
"espn_mbb_venues","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 988 x 9  | cols: venue_id, name, full_name, address_city, address_state, capacity, indoor, grass, images_url  ",4
"espn_mbb_week_ranking","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 25 x 19  | cols: league, season, season_type, week, ranking_id, name, short_name, type, headline, date, current, previous  ... ",3.4
"espn_mbb_week_rankings","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 2 x 6  | cols: league, season, season_type, week, ranking_id, ref  ",3.7
"espn_mbb_wp","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 352 x 9  | cols: game_id, play_id, period, time_left, period_seconds_left, game_seconds_left, home_win_percentage, away_win_percentage, tie_percentage  ",3.5
"espn_nba_athlete_awards","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 25 x 7  | cols: season, award_id, name, description, date, type, ref_url  ",3.8
"espn_nba_athlete_career_stats","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 17  | cols: league, athlete_id, stat_type_id, split_id, split_name, split_type, category_name, category_display, category_short, category_abbrev, stat_name, stat_abbrev  ... ",3.6
"espn_nba_athlete_contract","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 23  | cols: athlete_id, season, bird_status, salary, salary_remaining, years_remaining, incoming_trade_value, outgoing_trade_value, option_type, minimum_salary_exception, trade_restrictio",3.7
"espn_nba_athlete_contracts","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 20 x 4  | cols: athlete_id, season, ref, league  ",3.7
"espn_nba_athlete_eventlog","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 25 x 6  | cols: event_ref, competition_ref, team_ref, statistics_ref, team_id, played  ",3.9
"espn_nba_athlete_eventlog_v2","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 25 x 8  | cols: league, athlete_id, season, event_id, team_id, played, event_ref, competition_ref  ",3.4
"espn_nba_athlete_gamelog","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 82 x 24  | cols: id, at_vs, game_date, score, home_team_id, away_team_id, home_team_score, away_team_score, game_result, league_name, league_abbreviation, league_short_name  ... ",3.9
"espn_nba_athlete_info","OK","list with 6 elements: Bio, Team, Position, Status, College, Draft  |   Bio : 1 x 21  |   Team : 1 x 1  |   Position : 1 x 5  |   Status : 1 x 4  |   College : 0 x 0 ",3.3
"espn_nba_athlete_overview","OK","list with 5 elements: Statistics, NextGame, Last5Games, Headlines, FantasyOutlook  |   Statistics : 0 x 0  |   NextGame : 1 x 4  |   Last5Games : 0 x 0  |   Headlines : 13 x 5  |   FantasyOutlook : 1 x 1 ",3.3
"espn_nba_athlete_seasons","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 23 x 4  | cols: league, athlete_id, season, ref  ",3.6
"espn_nba_athlete_splits","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 6 x 3  | cols: name, display_name, splits  ",3.3
"espn_nba_athlete_statisticslog","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 2  | cols: season, statistics  ",3.1
"espn_nba_athlete_stats","OK","list with 9 elements: Regular Season Averages, Regular Season Totals, Regular Season Misc Totals, General, Offensive, Defensive, Rebounding, Shooting, Misc  |   Regular Season Averages : 23 x 5  |   Regular Season Totals : 23 x 5  |   Regular Season ",3
"espn_nba_athletes_index","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 50 x 9  | cols: athlete_id, full_name, jersey, position, team_id, headshot, status, link, ref_url  ",3.2
"espn_nba_award","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 9  | cols: league, season, award_id, name, description, athlete_id, team_id, athlete_ref, team_ref  ",4.1
"espn_nba_betting","OK","list with 3 elements: pickcenter, againstTheSpread, predictor  |   pickcenter : 0 x 0  |   againstTheSpread : 0 x 0  |   predictor : 0 x 0 ",4.1
"espn_nba_calendar","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 230 x 12  | cols: season, season_type, season_type_label, season_start_date, season_end_date, calendar_type, label, alternate_label, detail, value, start_date, end_date  ",4
"espn_nba_coach","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 12  | cols: coach_id, uid, first_name, last_name, date_of_birth, birth_city, birth_state, n_career_records, n_coach_seasons, college_ref, team_ref, league  ",3.2
"espn_nba_coach_record","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 5 x 12  | cols: league, coach_id, record_type_id, record_name, record_type, record_summary, record_display, stat_name, stat_abbrev, stat_display, value, stat_display_value  ",3
"espn_nba_coach_season","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 13  | cols: league, season, coach_id, uid, first_name, last_name, date_of_birth, birth_city, birth_state, n_records, person_ref, college_ref  ... ",3.7
"espn_nba_coaches","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 26 x 6  | cols: coach_id, first_name, last_name, full_name, experience, team_id  ",3.5
"espn_nba_conferences","EMPTY","class: data.frame  | dim: 0 x 0  | cols:   ",3.2
"espn_nba_draft","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 58 x 11  | cols: season, round, pick, overall, traded, trade_note, status, athlete_id, athlete_ref, team_id, team_ref  ",3.3
"espn_nba_draft_athlete_detail","OK","class: NULL  | length: 0 ",3.5
"espn_nba_draft_athletes","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 102 x 4  | cols: league, season, athlete_id, ref  ",3.3
"espn_nba_draft_pick","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 12  | cols: league, season, round, pick, overall, traded, trade_note, status, athlete_id, team_id, athlete_ref, team_ref  ",3.3
"espn_nba_draft_rounds","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 2 x 7  | cols: league, season, round, display_name, short_display_name, n_picks, status  ",3.4
"espn_nba_draft_status","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 7  | cols: league, season, round, type_id, type_name, type_state, description  ",3.5
"espn_nba_event_broadcasts","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 10  | cols: event_id, broadcast_id, type_id, type_short_name, type_long_name, market_id, market_type, names, lang, region  ",3.3
"espn_nba_event_competitor_leaders","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 48 x 11  | cols: league, event_id, team_id, category_name, category_display, category_abbrev, rank, athlete_id, display_value, value, athlete_ref  ",3.3
"espn_nba_event_competitor_linescores","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 8 x 7  | cols: league, event_id, team_id, period, value, display_value, source  ",3.5
"espn_nba_event_competitor_records","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 5 x 11  | cols: league, event_id, team_id, record_id, name, abbreviation, display_name, short_display_name, type, summary, value  ",3.3
"espn_nba_event_competitor_roster","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 5  | cols: league, event_id, team_id, athlete_id, ref  ",3.1
"espn_nba_event_competitor_roster_entry","OK","class: NULL  | length: 0 ",3.3
"espn_nba_event_competitor_score","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 8  | cols: league, event_id, team_id, value, display_value, winner, source_id, source_description  ",3.2
"espn_nba_event_competitor_statistics","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 98 x 10  | cols: league, event_id, team_id, category_name, category_display, stat_name, stat_abbrev, stat_display, value, display_value  ",3.4
"espn_nba_event_odds","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 16 x 12  | cols: event_id, provider_id, provider_name, details, over_under, spread, home_money_line, away_money_line, home_team_odds_open, home_team_odds_close, away_team_odds_open, away_team",3.1
"espn_nba_event_official_detail","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 10  | cols: league, event_id, official_id, first_name, last_name, full_name, display_name, position_id, position_name, order  ",3.7
"espn_nba_event_officials","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 3 x 8  | cols: event_id, official_id, full_name, display_name, position_id, position_name, position_type, order  ",4.6
"espn_nba_event_play","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 19  | cols: league, event_id, play_id, sequence_number, type_id, type_text, text, short_text, period, clock, scoring_play, score_value  ... ",4.1
"espn_nba_event_play_personnel","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 7  | cols: league, event_id, play_id, team_id, athlete_id, athlete_ref, competitor_ref  ",3.7
"espn_nba_event_player_box","OK","class: NULL  | length: 0 ",3.9
"espn_nba_event_powerindex","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 2 x 4  | cols: league, event_id, team_id, ref  ",3.3
"espn_nba_event_predictor","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 6 x 13  | cols: league, event_id, name, short_name, last_modified, side, team_id, stat_name, stat_display, description, value, display_value  ... ",3.1
"espn_nba_event_probabilities","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 50 x 10  | cols: event_id, sequence_number, play_id, period, clock, home_win_percentage, away_win_percentage, tie_percentage, secs_to_end_of_period, secs_to_end_of_game  ",3.6
"espn_nba_event_propbets","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 13  | cols: league, event_id, provider_id, athlete_id, prop_type_id, prop_type_name, american, decimal, fraction, total, current_target, last_updated  ... ",3.8
"espn_nba_event_situation","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 15  | cols: league, event_id, home_timeouts_current, home_timeouts_remaining, away_timeouts_current, away_timeouts_remaining, home_team_fouls, home_team_fouls_current, home_fouls_to_give,",3.5
