"name","status","summary","duration_s"
"espn_mbb_athlete_awards","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 6  | cols: season, award_id, name, description, date, type  ",4.4
"espn_mbb_athlete_career_stats","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 17  | cols: league, athlete_id, stat_type_id, split_id, split_name, split_type, category_name, category_display, category_short, category_abbrev, stat_name, stat_abbrev  ... ",3.5
"espn_mbb_athlete_eventlog","EMPTY","class: tbl_df,tbl,data.frame  | dim: 0 x 0  | cols:   ",3.1
"espn_mbb_athlete_eventlog_v2","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 0 x 8  | cols: league, athlete_id, season, event_id, team_id, played, event_ref, competition_ref  ",3.3
"espn_mbb_athlete_gamelog","EMPTY","class: tbl_df,tbl,data.frame  | dim: 0 x 0  | cols:   ",3.4
"espn_mbb_athlete_info","OK","list with 6 elements: Bio, Team, Position, Status, College, Draft  |   Bio : 1 x 18  |   Team : 1 x 1  |   Position : 1 x 5  |   Status : 1 x 4  |   College : 0 x 0 ",3.2
"espn_mbb_athlete_overview","OK","list with 5 elements: Statistics, NextGame, Last5Games, Headlines, FantasyOutlook  |   Statistics : 0 x 0  |   NextGame : 1 x 4  |   Last5Games : 0 x 0  |   Headlines : 13 x 5  |   FantasyOutlook : 0 x 0 ",3.3
"espn_mbb_athlete_seasons","OK","class: NULL  | length: 0 ",3.3
"espn_mbb_athlete_splits","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 2  | cols: name, display_name  ",3.7
"espn_mbb_athlete_statisticslog","OK","class: hoopR_data,tbl_df,tbl,data.table,data.frame  | dim: 1 x 2  | cols: season, statistics  ",3.6
